shp,spei,model,r2-EEMD,r2-None,r2-VMD
shp-1,1,LSTM,0.508390367,0.0,0.535858124
shp-1,1,RNN,0.544565529,0.0,0.530498952
shp-1,3,LSTM,0.713394225,0.25254333,0.718973607
shp-1,3,RNN,0.814459041,0.27567333,0.705670327
shp-1,6,LSTM,0.745069325,0.373766959,0.68057701
shp-1,6,RNN,0.85792622,0.452241838,0.740982056
shp-1,9,LSTM,0.933628201,0.504755378,0.845773026
shp-1,9,RNN,0.942226756,0.591803551,0.86015065
shp-1,12,LSTM,0.91451633,0.527566254,0.694127738
shp-1,12,RNN,0.959187385,0.632868171,0.634788066
shp-10,1,LSTM,0.497562647,0.0,0.479186296
shp-10,1,RNN,0.503517568,0.0,0.596304804
shp-10,3,LSTM,0.67563805,0.177018881,0.703221887
shp-10,3,RNN,0.70856151,0.211876035,0.669834107
shp-10,6,LSTM,0.589859456,0.326021314,0.62728408
shp-10,6,RNN,0.620857358,0.261223912,0.72163409
shp-10,9,LSTM,0.919068813,0.578223795,0.845982492
shp-10,9,RNN,0.953591127,0.629851341,0.868084356
shp-10,12,LSTM,0.953172494,0.492766857,0.87314488
shp-10,12,RNN,0.975929592,0.745850533,0.907228634
shp-11,1,LSTM,0.490073562,0.0,0.393540323
shp-11,1,RNN,0.527721405,0.0,0.385652542
shp-11,3,LSTM,0.493570209,0.135773659,0.647382766
shp-11,3,RNN,0.839895204,0.25138396,0.591707349
shp-11,6,LSTM,0.742591947,0.159282148,0.689636111
shp-11,6,RNN,0.844667241,0.221679807,0.697321653
shp-11,9,LSTM,0.943253089,0.439328969,0.51239565
shp-11,9,RNN,0.974305861,0.621330917,0.838346884
shp-11,12,LSTM,0.975865891,0.712994754,0.854072452
shp-11,12,RNN,0.981791424,0.731741011,0.928577483
shp-12,1,LSTM,0.544179082,0.0,0.476639867
shp-12,1,RNN,0.54338789,0.0,0.444957197
shp-12,3,LSTM,0.646467179,0.12755537,0.60123086
shp-12,3,RNN,0.793517947,0.128741145,0.593672335
shp-12,6,LSTM,0.871014386,0.299760163,0.575916618
shp-12,6,RNN,0.901583701,0.34377104,0.711149305
shp-12,9,LSTM,0.949878231,0.478943586,0.737791687
shp-12,9,RNN,0.969674302,0.665896416,0.784189418
shp-12,12,LSTM,0.9573217,0.835523382,0.857154205
shp-12,12,RNN,0.977767315,0.802674234,0.843124807
shp-2,1,LSTM,0.452455282,0.0,0.478867292
shp-2,1,RNN,0.496914685,0.0,0.459373295
shp-2,3,LSTM,0.725770086,0.177519143,0.515450537
shp-2,3,RNN,0.822735012,0.163758695,0.593489468
shp-2,6,LSTM,0.846836001,0.411209345,0.596027642
shp-2,6,RNN,0.910331845,0.400622606,0.728220195
shp-2,9,LSTM,0.806571722,0.703965098,0.854766667
shp-2,9,RNN,0.969248407,0.623069555,0.86269556
shp-2,12,LSTM,0.959630553,0.790655091,0.790425658
shp-2,12,RNN,0.978700578,0.773445517,0.869708031
shp-3,1,LSTM,0.560369045,0.0,0.261683285
shp-3,1,RNN,0.543331087,0.0,0.403018177
shp-3,3,LSTM,0.838850513,0.099649608,0.455692649
shp-3,3,RNN,0.879095346,0.186666369,0.530529767
shp-3,6,LSTM,0.872018144,0.250766337,0.352685988
shp-3,6,RNN,0.863292679,0.261784256,0.620853931
shp-3,9,LSTM,0.933354363,0.474291563,0.42076385
shp-3,9,RNN,0.879007444,0.618071884,0.678646028
shp-3,12,LSTM,0.955497906,0.682382792,0.742869824
shp-3,12,RNN,0.973248631,0.747661144,0.661438197
shp-4,1,LSTM,0.481073201,0.0,0.392885268
shp-4,1,RNN,0.373561203,0.0,0.379020989
shp-4,3,LSTM,0.683946997,0.122124314,0.519775748
shp-4,3,RNN,0.867930576,0.206818759,0.470692158
shp-4,6,LSTM,0.795897856,0.189491868,0.383590102
shp-4,6,RNN,0.821746424,0.32547015,0.640881181
shp-4,9,LSTM,0.96134327,0.564730406,0.550623298
shp-4,9,RNN,0.982045298,0.548247367,0.692563713
shp-4,12,LSTM,0.937528878,0.556684911,0.873856008
shp-4,12,RNN,0.989745743,0.834851369,0.859223947
shp-5,1,LSTM,0.545640826,0.0,0.421803653
shp-5,1,RNN,0.54610011,0.0,0.432121694
shp-5,3,LSTM,0.649585187,0.200036883,0.676104099
shp-5,3,RNN,0.830989152,0.179156125,0.585038275
shp-5,6,LSTM,0.821745485,0.278384209,0.433650255
shp-5,6,RNN,0.891319804,0.253897011,0.626613438
shp-5,9,LSTM,0.930317722,0.482234299,0.136139512
shp-5,9,RNN,0.93305482,0.53719911,0.732067466
shp-5,12,LSTM,0.935626142,0.451650858,0.516944319
shp-5,12,RNN,0.945343032,0.621537238,0.756674871
shp-6,1,LSTM,0.260840058,0.0,0.526592463
shp-6,1,RNN,0.509721816,0.0,0.455153286
shp-6,3,LSTM,0.769224763,0.158363283,0.597824097
shp-6,3,RNN,0.816147014,0.175561965,0.63901788
shp-6,6,LSTM,0.769984797,0.168208838,0.520118535
shp-6,6,RNN,0.889906347,0.219569564,0.519357979
shp-6,9,LSTM,0.871880829,0.028339386,0.396048605
shp-6,9,RNN,0.930894546,0.235712469,0.608872116
shp-6,12,LSTM,0.951504949,0.306323051,0.31499964
shp-6,12,RNN,0.953269862,0.028493345,0.633787364
shp-7,1,LSTM,0.453834236,0.0,0.448299944
shp-7,1,RNN,0.430479944,0.0,0.454658747
shp-7,3,LSTM,0.668655485,0.185576797,0.640355527
shp-7,3,RNN,0.80580692,0.253644288,0.651009262
shp-7,6,LSTM,0.793622732,0.100102365,0.232920647
shp-7,6,RNN,0.820631385,0.147692144,0.434070528
shp-7,9,LSTM,0.939216249,0.066976249,0.476904392
shp-7,9,RNN,0.945052471,0.30305779,0.359837294
shp-7,12,LSTM,0.947095476,0.411628425,0.381141186
shp-7,12,RNN,0.96995021,0.004373491,0.680365771
shp-8,1,LSTM,0.50207746,0.0,0.569110096
shp-8,1,RNN,0.50445348,0.005855501,0.544155151
shp-8,3,LSTM,0.309072375,0.177951276,0.686570138
shp-8,3,RNN,0.626888156,0.208444059,0.649554461
shp-8,6,LSTM,0.523657233,0.267813981,0.531621516
shp-8,6,RNN,0.569633305,0.248927593,0.638678968
shp-8,9,LSTM,0.920691252,0.52531153,0.72777167
shp-8,9,RNN,0.938390508,0.606729835,0.778722242
shp-8,12,LSTM,0.927295163,0.668972433,0.784394339
shp-8,12,RNN,0.954174735,0.664993227,0.779253647
shp-9,1,LSTM,0.460452259,0.0,0.544812948
shp-9,1,RNN,0.479319513,0.0,0.500468284
shp-9,3,LSTM,0.420681655,0.134420276,0.637492627
shp-9,3,RNN,0.740641296,0.171822786,0.62689501
shp-9,6,LSTM,0.456167042,0.235337496,0.496258497
shp-9,6,RNN,0.627318174,0.25578773,0.589051545
shp-9,9,LSTM,0.851947248,0.561261475,0.743110031
shp-9,9,RNN,0.939645723,0.629077047,0.785288721
shp-9,12,LSTM,0.924639761,0.510487705,0.77283065
shp-9,12,RNN,0.959942333,0.674241424,0.815073639
