shp,spei,dec,r2-LSTM,r2-RNN,r2-TCN
shp-1,1,EEMD,0.508390367,0.544565529,0.0
shp-1,1,VMD,0.535858124,0.530498952,0.461097181
shp-1,3,EEMD,0.713394225,0.814459041,
shp-1,3,VMD,0.718973607,0.705670327,0.505316168
shp-1,6,EEMD,0.745069325,0.85792622,0.642510682
shp-1,6,VMD,0.68057701,0.740982056,0.640662968
shp-1,9,EEMD,0.933628201,0.942226756,0.778905004
shp-1,9,VMD,0.845773026,0.86015065,0.777330264
shp-1,12,EEMD,0.91451633,0.959187385,0.194372773
shp-1,12,VMD,0.694127738,0.634788066,0.684474707
shp-10,1,EEMD,0.497562647,0.503517568,0.397695184
shp-10,1,VMD,0.479186296,0.596304804,0.497828901
shp-10,3,EEMD,0.67563805,0.70856151,0.690582722
shp-10,3,VMD,0.703221887,0.669834107,0.623583317
shp-10,6,EEMD,0.589859456,0.620857358,0.690677166
shp-10,6,VMD,0.62728408,0.72163409,0.524941623
shp-10,9,EEMD,0.919068813,0.953591127,0.898046412
shp-10,9,VMD,0.845982492,0.868084356,0.743506044
shp-10,12,EEMD,0.953172494,0.975929592,0.932336368
shp-10,12,VMD,0.87314488,0.907228634,0.755403504
shp-11,1,EEMD,0.490073562,0.527721405,0.461178184
shp-11,1,VMD,0.393540323,0.385652542,0.395653605
shp-11,3,EEMD,0.493570209,0.839895204,0.720536053
shp-11,3,VMD,0.647382766,0.591707349,0.542460978
shp-11,6,EEMD,0.742591947,0.844667241,0.679587573
shp-11,6,VMD,0.689636111,0.697321653,0.320409238
shp-11,9,EEMD,0.943253089,0.974305861,0.906979062
shp-11,9,VMD,0.51239565,0.838346884,0.467752934
shp-11,12,EEMD,0.975865891,0.981791424,0.961888213
shp-11,12,VMD,0.854072452,0.928577483,0.821386576
shp-12,1,EEMD,0.544179082,0.54338789,0.436689734
shp-12,1,VMD,0.476639867,0.444957197,0.368071854
shp-12,3,EEMD,0.646467179,0.793517947,0.0
shp-12,3,VMD,0.60123086,0.593672335,0.364478946
shp-12,6,EEMD,0.871014386,0.901583701,0.815698385
shp-12,6,VMD,0.575916618,0.711149305,0.584628671
shp-12,9,EEMD,0.949878231,0.969674302,0.943188306
shp-12,9,VMD,0.737791687,0.784189418,0.527426749
shp-12,12,EEMD,0.9573217,0.977767315,0.962220214
shp-12,12,VMD,0.857154205,0.843124807,0.892675333
shp-2,1,EEMD,0.452455282,0.496914685,0.0
shp-2,1,VMD,0.478867292,0.459373295,0.231538773
shp-2,3,EEMD,0.725770086,0.822735012,0.642683029
shp-2,3,VMD,0.515450537,0.593489468,0.499955535
shp-2,6,EEMD,0.846836001,0.910331845,0.695370913
shp-2,6,VMD,0.596027642,0.728220195,0.619430631
shp-2,9,EEMD,0.806571722,0.969248407,0.690547943
shp-2,9,VMD,0.854766667,0.86269556,0.770159274
shp-2,12,EEMD,0.959630553,0.978700578,0.914244778
shp-2,12,VMD,0.790425658,0.869708031,0.881364003
shp-3,1,EEMD,0.560369045,0.543331087,0.545764118
shp-3,1,VMD,0.261683285,0.403018177,0.385259509
shp-3,3,EEMD,0.838850513,0.879095346,0.701944172
shp-3,3,VMD,0.455692649,0.530529767,0.44900012
shp-3,6,EEMD,0.872018144,0.863292679,0.838233292
shp-3,6,VMD,0.352685988,0.620853931,0.472660959
shp-3,9,EEMD,0.933354363,0.879007444,0.872330457
shp-3,9,VMD,0.42076385,0.678646028,0.525465846
shp-3,12,EEMD,0.955497906,0.973248631,0.951785617
shp-3,12,VMD,0.742869824,0.661438197,0.757562011
shp-4,1,EEMD,0.481073201,0.373561203,0.347684085
shp-4,1,VMD,0.392885268,0.379020989,0.30572927
shp-4,3,EEMD,0.683946997,0.867930576,0.0
shp-4,3,VMD,0.519775748,0.470692158,0.421193838
shp-4,6,EEMD,0.795897856,0.821746424,0.70848155
shp-4,6,VMD,0.383590102,0.640881181,0.542313337
shp-4,9,EEMD,0.96134327,0.982045298,0.835978627
shp-4,9,VMD,0.550623298,0.692563713,0.701755404
shp-4,12,EEMD,0.937528878,0.989745743,0.0
shp-4,12,VMD,0.873856008,0.859223947,0.54477039
shp-5,1,EEMD,0.545640826,0.54610011,0.443896413
shp-5,1,VMD,0.421803653,0.432121694,0.366165996
shp-5,3,EEMD,0.649585187,0.830989152,0.50637728
shp-5,3,VMD,0.676104099,0.585038275,0.523074716
shp-5,6,EEMD,0.821745485,0.891319804,0.739339232
shp-5,6,VMD,0.433650255,0.626613438,0.511727482
shp-5,9,EEMD,0.930317722,0.93305482,0.89029064
shp-5,9,VMD,0.136139512,0.732067466,0.707121521
shp-5,12,EEMD,0.935626142,0.945343032,0.0
shp-5,12,VMD,0.516944319,0.756674871,0.681540132
shp-6,1,EEMD,0.260840058,0.509721816,0.52835536
shp-6,1,VMD,0.526592463,0.455153286,0.430531383
shp-6,3,EEMD,0.769224763,0.816147014,0.662850559
shp-6,3,VMD,0.597824097,0.63901788,0.562886953
shp-6,6,EEMD,0.769984797,0.889906347,0.760688916
shp-6,6,VMD,0.520118535,0.519357979,0.395225286
shp-6,9,EEMD,0.871880829,0.930894546,0.0
shp-6,9,VMD,0.396048605,0.608872116,0.472029209
shp-6,12,EEMD,0.951504949,0.953269862,0.757144257
shp-6,12,VMD,0.31499964,0.633787364,0.635635763
shp-7,1,EEMD,0.453834236,0.430479944,0.434064269
shp-7,1,VMD,0.448299944,0.454658747,0.331504762
shp-7,3,EEMD,0.668655485,0.80580692,0.632361114
shp-7,3,VMD,0.640355527,0.651009262,0.545314312
shp-7,6,EEMD,0.793622732,0.820631385,0.737329662
shp-7,6,VMD,0.232920647,0.434070528,0.22332859
shp-7,9,EEMD,0.939216249,0.945052471,0.037734091
shp-7,9,VMD,0.476904392,0.359837294,0.430901647
shp-7,12,EEMD,0.947095476,0.96995021,0.96312397
shp-7,12,VMD,0.381141186,0.680365771,0.601720393
shp-8,1,EEMD,0.50207746,0.50445348,0.408887506
shp-8,1,VMD,0.569110096,0.544155151,0.284896016
shp-8,3,EEMD,0.309072375,0.626888156,0.411316335
shp-8,3,VMD,0.686570138,0.649554461,0.554265201
shp-8,6,EEMD,0.523657233,0.569633305,0.606761873
shp-8,6,VMD,0.531621516,0.638678968,0.540599734
shp-8,9,EEMD,0.920691252,0.938390508,0.825213388
shp-8,9,VMD,0.72777167,0.778722242,0.761359289
shp-8,12,EEMD,0.927295163,0.954174735,0.804620013
shp-8,12,VMD,0.784394339,0.779253647,0.733234972
shp-9,1,EEMD,0.460452259,0.479319513,0.447252691
shp-9,1,VMD,0.544812948,0.500468284,0.393303216
shp-9,3,EEMD,0.420681655,0.740641296,0.371818841
shp-9,3,VMD,0.637492627,0.62689501,0.390736699
shp-9,6,EEMD,0.456167042,0.627318174,0.500724614
shp-9,6,VMD,0.496258497,0.589051545,0.500418425
shp-9,9,EEMD,0.851947248,0.939645723,0.822892591
shp-9,9,VMD,0.743110031,0.785288721,0.813522965
shp-9,12,EEMD,0.924639761,0.959942333,0.850374833
shp-9,12,VMD,0.77283065,0.815073639,0.257315218
