time,lrad,prec,pres,shum,srad,temp,wind
1979-01-31,236.93109,0.92503756,85889.83,0.0019107611,101.8044,270.21338,1.5015147
1979-02-28,247.53189,2.7059352,85944.92,0.002601037,138.51648,273.71188,1.3348228
1979-03-31,271.5081,4.5625687,86033.39,0.0032306511,145.10474,275.8128,1.6271634
1979-04-30,301.539,2.2319524,86320.8,0.0054381066,189.74666,282.00336,1.8681374
1979-05-31,324.62747,1.958087,86484.8,0.006306838,199.64842,285.65817,1.4534453
1979-06-30,353.21198,6.3035026,86756.48,0.008236463,258.68625,293.5387,1.7130817
1979-07-31,375.31702,25.689163,86714.28,0.012376322,196.19333,292.61835,1.4813963
1979-08-31,370.47873,7.591301,86743.29,0.011922059,193.11641,292.36063,1.262714
1979-09-30,339.51782,12.956716,86528.46,0.008540534,128.64078,286.20773,1.1718333
1979-10-31,289.6931,1.9609307,86379.625,0.005284222,159.65382,282.95294,1.1487948
1979-11-30,250.88286,1.1082361,86048.87,0.002630444,113.86548,273.94128,1.409562
1979-12-31,247.75597,0.24278133,85983.086,0.0023728358,84.55296,271.40704,1.1223006
1980-01-31,230.124,0.81234896,85841.65,0.0016628065,101.04863,268.35394,1.3743541
1980-02-29,240.87732,0.08642294,85805.29,0.0019382186,122.210846,269.80032,1.4304061
1980-03-31,275.87936,3.541967,85978.75,0.003388224,124.621025,274.73502,2.1624835
1980-04-30,299.44226,3.8945937,86374.83,0.0048835916,208.48422,283.20258,2.1213136
1980-05-31,333.2525,11.351973,86533.48,0.0072838673,200.46494,286.87354,1.7762572
1980-06-30,359.20636,13.738286,86660.65,0.010157404,204.0395,290.6474,1.5782896
1980-07-31,371.38214,24.901438,86692.56,0.012115535,194.47185,291.95056,1.4636335
1980-08-31,363.68753,26.006828,86717.54,0.011881978,191.67647,291.44202,1.4305872
1980-09-30,333.57782,13.980143,86537.695,0.008930917,150.6881,286.4471,1.0905567
1980-10-31,313.82275,7.3612146,86337.92,0.0066149416,103.79347,281.99603,1.1108235
1980-11-30,271.87558,2.5054033,86127.99,0.004016464,102.932945,276.93085,1.2249264
1980-12-31,230.70335,0.05549391,85966.52,0.0019762276,102.48316,270.3541,1.3291117
1981-01-31,239.4688,0.8149255,85816.01,0.0018671181,81.19009,267.59607,1.4352314
1981-02-28,250.75168,0.66669285,85838.7,0.0021841668,111.95569,271.34204,1.5569226
1981-03-31,269.82062,2.3119957,86159.36,0.0034057763,176.35817,278.41928,1.8213031
1981-04-30,307.41644,7.817749,86344.56,0.0057720505,179.65575,282.43073,1.6333951
1981-05-31,325.72763,3.4065125,86598.805,0.0063755456,245.99088,288.49612,1.8967097
1981-06-30,363.06586,6.790591,86730.44,0.0097775245,230.15688,292.7855,1.7213022
1981-07-31,379.38452,19.570375,86733.03,0.013200313,200.97168,293.24258,1.7678946
1981-08-31,375.1387,51.38062,86725.07,0.012551172,158.63101,291.7001,1.4038752
1981-09-30,342.23062,25.942562,86547.09,0.009383125,127.384735,286.63434,1.2706832
1981-10-31,291.79178,2.376284,86205.82,0.004818483,115.09596,279.14407,1.4651003
1981-11-30,267.88492,3.641028,86028.695,0.0034705973,88.61378,274.19394,1.3646541
1981-12-31,227.7937,0.40438798,85927.61,0.0018454195,99.06645,268.9695,1.4343753
1982-01-31,238.61272,0.42080092,85870.84,0.001985735,94.6611,269.75613,1.2094039
1982-02-28,268.4812,1.9269944,85832.74,0.0028612174,81.21721,271.4227,1.4395791
1982-03-31,278.86508,3.9498858,86044.01,0.0037763068,131.5083,276.0907,1.7228246
1982-04-30,295.42093,6.6310945,86313.15,0.004970859,196.06897,281.75168,1.6566018
1982-05-31,328.31555,2.7419808,86587.484,0.0072075706,242.88673,288.22644,1.8277293
1982-06-30,352.46103,2.323901,86701.37,0.008416445,238.21259,291.8605,1.7188011
1982-07-31,370.27463,15.628389,86735.48,0.010907538,214.03227,293.20734,1.7222494
1982-08-31,365.57437,18.212727,86694.26,0.011622515,173.5646,290.82883,1.4470792
1982-09-30,344.49554,18.73699,86522.8,0.009332105,113.903305,286.07956,0.9586112
1982-10-31,312.70206,3.4575398,86393.73,0.00689503,124.99506,283.23096,1.1684154
1982-11-30,265.5113,3.470867,86040.81,0.0034537895,94.707756,274.44128,1.1003197
1982-12-31,232.75467,0.1752649,85933.234,0.0016874704,92.6163,269.26367,1.3275237
1983-01-31,227.25587,0.43465084,85824.42,0.0016355335,101.60423,267.63846,1.1231905
1983-02-28,231.6327,0.22659375,85826.29,0.001627595,142.62964,270.8146,1.4633868
1983-03-31,262.6691,4.315257,86016.15,0.0028588986,159.48932,275.46173,1.5803727
1983-04-30,296.37146,8.440503,86333.82,0.0052696457,205.2435,282.22476,1.8865918
1983-05-31,331.88922,18.934042,86527.19,0.008130848,210.54756,286.6698,1.2642521
1983-06-30,357.03552,13.629338,86633.39,0.010258797,198.44489,289.90582,1.3540822
1983-07-31,372.5327,16.209927,86703.23,0.011337753,178.88177,292.12827,1.25302
1983-08-31,360.78476,19.652302,86711.14,0.011879105,201.7935,291.25903,1.5483241
1983-09-30,344.06836,23.476374,86567.89,0.009467385,136.3077,287.10577,1.0178703
1983-10-31,322.3809,19.51113,86315.59,0.00690082,81.512054,281.56918,1.1773399
1983-11-30,261.13565,3.4487953,86110.13,0.0039226552,117.547676,276.38156,1.1703994
1983-12-31,243.71822,0.2538929,85952.29,0.002220721,83.80728,270.1033,1.0878103
