time,lrad,prec,pres,shum,srad,temp,wind
1979-01-31,226.38855,0.09769387,88569.28,0.0017027179,114.526535,271.28882,2.7631536
1979-02-28,241.66869,0.6595646,88550.31,0.0022731891,149.99109,275.09894,2.757499
1979-03-31,267.54694,1.4797002,88614.48,0.0032686647,163.07068,277.1177,2.9545355
1979-04-30,302.15457,0.3547002,88875.81,0.0054644495,206.53267,283.46454,2.9003675
1979-05-31,322.3196,0.91900545,89047.9,0.0060714423,236.07812,287.7522,3.0692399
1979-06-30,352.85947,1.0811313,89342.414,0.008151171,284.36627,295.40338,2.986148
1979-07-31,384.84848,5.3897653,89324.086,0.013712099,214.56198,294.89047,2.1266458
1979-08-31,385.15576,3.5562153,89314.64,0.0132375425,191.80623,294.66788,2.3009346
1979-09-30,343.42325,3.7266133,89057.94,0.009065019,140.19844,287.97055,2.1875257
1979-10-31,290.97986,0.359725,88938.47,0.005112254,166.53821,284.9845,3.065753
1979-11-30,244.49144,0.096366696,88674.06,0.002469753,123.49256,275.30917,3.4092677
1979-12-31,235.12714,0.052037694,88643.586,0.0021930581,100.40727,272.67615,2.5383964
1980-01-31,222.31047,0.15303941,88539.02,0.0013374614,107.00192,268.83713,2.7526014
1980-02-29,224.68013,0.07611663,88457.1,0.0016970686,152.37363,270.74936,2.5922549
1980-03-31,270.15747,0.66290784,88572.51,0.0032658833,147.26103,276.1381,2.9879212
1980-04-30,299.14337,0.8047801,88914.21,0.0043606926,215.62631,284.41534,3.1587481
1980-05-31,333.3164,2.7275908,89107.46,0.0069801235,233.22961,289.27353,3.2499943
1980-06-30,368.90616,4.914114,89275.16,0.010192618,216.97063,293.6064,2.563546
1980-07-31,380.93924,5.3624997,89283.81,0.0130457,199.08723,293.8276,2.096323
1980-08-31,374.42108,3.07422,89261.77,0.012624854,187.60739,293.23398,2.3018293
1980-09-30,335.00073,3.70481,89066.55,0.009216373,169.79497,288.21436,2.2206657
1980-10-31,314.33786,2.9106972,88886.92,0.0065915342,113.68358,283.66818,2.2249613
1980-11-30,266.96973,1.1961069,88708.24,0.0042089075,114.61206,278.5704,2.2284904
1980-12-31,218.87056,0.014855334,88642.9,0.0016224826,112.92105,271.1863,2.4838345
1981-01-31,226.93298,0.22021161,88536.15,0.001696125,99.60335,268.68005,2.3710039
1981-02-28,240.51292,0.13331206,88446.59,0.0018724584,129.0632,272.07944,2.5893319
1981-03-31,268.04666,1.5357842,88721.64,0.0033823424,184.79375,279.67953,2.8655846
1981-04-30,307.58334,1.72924,88901.266,0.005805381,197.25876,284.0706,2.6849322
1981-05-31,318.35464,0.20705542,89138.72,0.0056980667,282.24194,290.09576,3.0375252
1981-06-30,370.37607,1.3054731,89325.08,0.009545657,231.83023,294.95093,2.5211635
1981-07-31,394.9344,4.7233343,89361.28,0.014367507,200.73068,295.8942,2.4415128
1981-08-31,386.55154,11.39213,89285.484,0.013557482,163.70734,293.8783,1.9929733
1981-09-30,351.42258,7.0914903,89070.1,0.010237115,125.432014,288.2842,1.7997991
1981-10-31,292.8436,0.7227535,88775.984,0.0048908717,121.495544,280.82077,2.5439463
1981-11-30,259.42343,1.0673974,88617.64,0.003270402,98.531136,274.90414,2.0737271
1981-12-31,220.36716,0.04463816,88632.984,0.0015292661,105.958824,270.0902,2.2887902
1982-01-31,228.29202,0.10774156,88549.47,0.0016528197,106.479614,270.63998,2.257169
1982-02-28,257.7157,0.43998113,88462.72,0.0028472573,107.03524,272.90076,1.9484898
1982-03-31,278.15024,1.7197049,88627.33,0.003768796,140.24385,277.44662,2.210041
1982-04-30,297.08398,0.42031747,88885.055,0.004842789,214.49342,283.65604,2.6604724
1982-05-31,335.10056,0.9776035,89150.78,0.007104341,245.89983,290.40906,2.8614829
1982-06-30,351.97726,1.7739372,89264.6,0.008725778,264.86533,293.34842,2.2364883
1982-07-31,378.5507,7.0962887,89332.81,0.011638745,222.15833,295.1486,2.079485
1982-08-31,375.63266,12.499175,89226.914,0.013053107,170.9058,292.31985,1.6032127
1982-09-30,347.3771,2.7860475,89046.14,0.009525576,125.22546,287.6757,1.559315
1982-10-31,314.27145,1.1928596,88936.06,0.0072665466,132.41487,284.92102,1.9517952
1982-11-30,265.534,1.1802202,88639.87,0.003716334,96.528725,275.63483,1.7565988
1982-12-31,224.35464,0.01330807,88634.53,0.0014927763,100.61355,270.18527,2.0691924
1983-01-31,216.97774,0.1192763,88538.94,0.0014544063,113.95354,268.5472,2.1465561
1983-02-28,223.7371,0.07042649,88444.12,0.0014237661,155.18394,271.64532,2.2599218
1983-03-31,258.60507,1.5102181,88601.52,0.002941908,175.49106,276.81647,2.5159516
1983-04-30,302.43176,1.96806,88893.1,0.005372325,205.63531,283.87347,2.7716253
1983-05-31,340.6583,6.073175,89068.164,0.00855142,204.04771,288.262,1.8618326
1983-06-30,369.53662,3.9238935,89195.734,0.010855642,175.73816,291.5327,1.7617971
1983-07-31,383.53485,5.3559937,89280.41,0.012945335,175.20076,293.73282,1.614802
1983-08-31,374.00046,5.3137293,89241.99,0.013151783,186.13965,292.725,1.8929837
1983-09-30,353.04733,9.901444,89101.0,0.01089377,143.95,289.06754,1.5290321
1983-10-31,327.79013,5.8441186,88858.484,0.007547226,81.22899,282.9688,1.4608105
