time,lrad,prec,pres,shum,srad,temp,wind
1979-01-31,244.90674,1.4095285,93592.7,0.0020242713,112.183846,275.84467,4.175623
1979-02-28,257.84668,1.4490699,93515.97,0.0027696795,153.11035,279.53387,4.2331324
1979-03-31,284.4465,6.480232,93548.19,0.0041084797,164.26115,280.7827,4.133117
1979-04-30,323.31003,3.1080253,93710.92,0.006333928,203.04205,287.20715,4.75887
1979-05-31,338.71863,3.9510407,93814.13,0.007241097,249.7041,291.31534,3.7452288
1979-06-30,377.56967,3.1675205,93981.06,0.010090266,276.21228,298.3255,3.7333663
1979-07-31,407.3995,15.022647,93979.06,0.016431272,222.48692,298.2095,3.0515609
1979-08-31,406.12958,10.463498,93971.06,0.016096385,202.75244,297.88602,3.619679
1979-09-30,361.53015,11.2510195,93822.8,0.010616783,150.97829,291.6582,2.98893
1979-10-31,312.25006,2.1889157,93762.336,0.0062047797,170.66585,289.22443,3.785943
1979-11-30,261.6588,2.177816,93582.414,0.0031027235,125.28389,279.53152,5.4596586
1979-12-31,256.55,0.63616353,93651.75,0.0029194835,98.94421,277.60114,3.364649
1980-01-31,235.3595,0.7448434,93572.87,0.0019367704,111.22664,273.0284,3.812402
1980-02-29,241.64038,0.42719,93429.74,0.0024545202,149.30278,274.47128,3.3110814
1980-03-31,285.8798,3.1505592,93525.37,0.0041294387,153.49765,279.94235,3.963786
1980-04-30,316.12976,3.597533,93728.23,0.0055854707,224.85143,287.88928,4.202046
1980-05-31,353.06567,12.40303,93844.36,0.008420045,234.85657,292.59625,4.1210904
1980-06-30,388.81213,7.938748,93948.57,0.012087045,227.32057,296.9205,3.5701802
1980-07-31,404.84024,12.1813755,93964.76,0.015462792,203.95027,297.60632,2.6067262
1980-08-31,395.65613,6.4226904,93952.086,0.014721696,209.81282,297.05182,2.5808117
1980-09-30,358.27142,9.969123,93841.98,0.0103936065,171.728,292.4674,2.9454224
1980-10-31,332.9282,7.133396,93730.68,0.0076389085,122.209236,287.9525,3.356763
1980-11-30,288.03696,1.7888415,93622.73,0.004972222,116.919365,283.3753,3.4879565
1980-12-31,233.52766,0.44132772,93647.33,0.0019361008,114.40777,275.4497,5.3012066
1981-01-31,243.55463,0.9161186,93571.484,0.002338707,100.42136,273.04346,3.527947
1981-02-28,256.04443,0.9549005,93435.92,0.0026299066,132.0603,276.08585,3.9625626
1981-03-31,285.61127,3.0294185,93619.86,0.0041735116,188.06857,283.5567,3.970508
