time,lrad,prec,pres,shum,srad,temp,wind
1979-01-31,241.81146,0.8421728,89493.37,0.0020432314,101.66745,271.62842,2.1666076
1979-02-28,252.44415,1.4844244,89516.164,0.00268318,141.57744,275.45584,2.0622697
1979-03-31,275.72714,4.32474,89570.2,0.0037441002,152.85976,277.25537,2.2413735
1979-04-30,311.7029,2.16259,89742.76,0.006206123,179.58151,282.9845,2.5534923
1979-05-31,331.412,3.4403412,89851.69,0.00736707,208.54732,286.89395,1.8025413
1979-06-30,360.10446,3.330083,89979.73,0.009183595,264.17984,294.51398,2.0138638
1979-07-31,386.57718,12.919237,89967.305,0.014054023,206.09389,294.4761,1.9059463
1979-08-31,384.01785,5.74509,90032.3,0.013381109,199.29831,294.4535,2.017328
1979-09-30,347.7094,8.21904,89921.64,0.009478503,128.65874,287.52536,1.5275981
1979-10-31,297.658,1.6139576,89854.93,0.0058806683,164.27615,284.76917,1.7128959
1979-11-30,256.3092,1.4135399,89586.26,0.0029822777,118.16453,275.97394,2.3174496
1979-12-31,260.67,0.2807327,89573.47,0.0027937936,73.81674,272.83505,1.341743
1980-01-31,239.53879,0.59042424,89455.266,0.001883564,95.30268,270.03598,1.9047303
1980-02-29,245.39468,0.16281582,89387.625,0.0021215342,125.18596,271.4138,1.8709549
1980-03-31,276.37653,1.6608913,89536.36,0.0036802092,141.77951,276.33624,2.5900369
1980-04-30,305.45334,2.4950705,89776.31,0.0054354034,208.92873,284.1286,2.5233314
1980-05-31,340.3652,8.863807,89883.27,0.008172766,205.15697,288.09225,2.1617332
1980-06-30,370.44934,5.356978,89946.734,0.011145711,206.91953,292.5333,1.8535644
1980-07-31,382.5052,11.751923,89948.6,0.013282822,192.59023,293.52383,1.5286856
1980-08-31,374.2085,7.0423565,90002.9,0.012934661,194.54166,292.95908,1.3946522
1980-09-30,342.7453,7.2557626,89933.195,0.009599289,149.9615,287.96683,1.4547435
1980-10-31,318.98022,6.1970797,89821.44,0.0069482545,111.29872,283.70258,1.6014955
1980-11-30,278.26978,1.66894,89659.7,0.0044859056,104.010475,278.58344,1.6324219
1980-12-31,236.31114,0.08704789,89561.055,0.0020291847,102.35344,272.1387,2.0745404
1981-01-31,246.5582,0.53154504,89440.8,0.0020453644,81.15643,269.63892,1.6952673
1981-02-28,259.64023,1.207498,89439.625,0.0024323412,107.5028,273.10416,2.00034
1981-03-31,279.86325,2.4386752,89661.92,0.0037979227,168.71957,280.03085,2.1771314
1981-04-30,318.0009,3.9330792,89786.24,0.006382792,178.20334,284.26434,1.8970745
1981-05-31,334.12256,2.6740751,89928.52,0.006921268,243.5258,289.85672,2.0514104
1981-06-30,375.44012,4.0696115,89990.83,0.010636954,230.03215,294.8165,2.0099294
1981-07-31,396.0755,11.713037,89984.52,0.014624719,189.31961,295.41586,1.9873465
1981-08-31,389.3736,18.795872,90016.16,0.0138398055,149.6338,293.462,1.7650394
1981-09-30,357.37863,14.536405,89943.93,0.010186992,109.66596,288.23462,1.2253033
1981-10-31,305.40063,2.05068,89722.4,0.005333584,102.62514,280.77667,1.81998
1981-11-30,276.5538,2.2992377,89575.93,0.0037574412,84.78258,275.81006,1.6012024
1981-12-31,238.9469,0.3866033,89523.66,0.0020718041,92.07167,270.79837,1.9766746
1982-01-31,244.92668,0.41188005,89484.59,0.0022201033,92.99604,271.3143,1.558166
1982-02-28,275.74075,1.0566454,89433.13,0.003223623,81.58135,273.16678,1.749912
1982-03-31,286.23877,2.7096143,89593.41,0.004208715,135.78716,277.98102,1.826537
1982-04-30,306.41705,2.970631,89765.57,0.0056801583,195.44994,283.51285,1.9709395
1982-05-31,340.85324,3.5253973,89932.266,0.008036774,234.84016,289.99176,2.1255105
1982-06-30,361.8402,2.3112595,89965.17,0.009463204,246.56949,293.47992,1.7769113
1982-07-31,384.8648,8.498643,89965.164,0.0125404745,193.8854,294.34695,1.7735652
1982-08-31,376.5515,12.932411,89995.19,0.013164012,179.95233,292.54944,1.384919
1982-09-30,356.1462,8.957232,89934.7,0.0101960115,111.284935,287.8773,1.2110763
1982-10-31,325.23697,2.5955331,89868.0,0.0076027466,117.18762,285.0777,1.463978
1982-11-30,280.4363,2.0959063,89593.766,0.0039828066,84.91615,276.47556,1.7001936
1982-12-31,240.14856,0.13729605,89528.555,0.0019461536,91.49059,271.0642,1.9343435
1983-01-31,241.5414,0.26549825,89442.42,0.0019387592,90.15723,269.552,1.4938201
