time,lrad,prec,pres,shum,srad,temp,wind
1979-01-31,236.04132,0.42610013,91254.49,0.0019824798,105.75585,271.34488,1.6055251
1979-02-28,249.98325,1.3578967,91067.48,0.0026424879,141.7914,275.2579,1.5079348
1979-03-31,276.32416,3.2953272,91020.59,0.003789946,157.09988,278.03265,1.967948
1979-04-30,311.39935,0.8898672,91226.875,0.006338208,196.94394,284.19238,2.1442728
1979-05-31,335.2145,2.167112,91357.23,0.007386711,217.0661,288.1995,1.9490772
1979-06-30,368.34985,1.7651932,91620.875,0.009017723,270.7378,296.70654,2.2727044
1979-07-31,395.77054,12.383241,91602.39,0.014629328,208.62883,296.06332,1.840788
1979-08-31,393.38705,3.5915995,91595.7,0.013723365,194.48993,295.9037,1.7252622
1979-09-30,354.87973,6.7449,91380.31,0.009896497,130.55684,288.92072,1.3695478
1979-10-31,298.35925,1.392783,91274.19,0.005982114,166.49388,285.36572,1.6788489
1979-11-30,254.1801,0.38163778,91254.484,0.0028836161,118.09454,275.9008,2.0656986
1979-12-31,247.66762,0.1653402,91342.836,0.002582097,87.22066,272.5413,1.4375306
1980-01-31,231.96767,0.55135155,91248.625,0.0016309754,101.40163,269.58368,1.698857
1980-02-29,234.23436,0.08043316,91038.66,0.001999208,145.26645,271.60013,1.7284243
1980-03-31,277.92365,1.1920581,90995.57,0.003716734,146.27074,277.32233,2.52855
1980-04-30,310.09164,1.7955416,91263.95,0.0054128435,210.78938,285.34955,2.5006392
1980-05-31,347.4973,5.834606,91409.18,0.008277887,210.00392,289.80927,2.5464733
1980-06-30,379.11664,7.338445,91551.93,0.011413782,210.47641,294.37598,2.09712
1980-07-31,390.24725,9.067345,91570.555,0.013778888,195.62308,294.99884,1.759045
1980-08-31,385.20306,7.8031836,91554.21,0.013830886,185.33136,294.4862,1.7954949
1980-09-30,347.41885,7.973974,91388.625,0.010132101,157.38136,289.264,1.752348
1980-10-31,324.8047,4.9995503,91247.34,0.0071709496,105.475105,284.4224,1.6174322
1980-11-30,273.65823,1.759337,91253.31,0.0044634687,109.541565,278.66833,1.588194
1980-12-31,231.38483,0.01512681,91343.516,0.0019939803,103.561295,271.58325,1.6472924
1981-01-31,239.3816,0.7107372,91248.2,0.0019355717,88.46055,269.32764,1.5665908
1981-02-28,251.96379,0.5749335,91029.26,0.0022025497,118.5619,272.9445,1.9909104
1981-03-31,276.8831,1.9273139,91098.87,0.0038041912,178.56308,280.418,2.4118636
1981-04-30,319.4672,3.8527894,91247.46,0.006728315,185.41034,284.9141,1.9710063
1981-05-31,337.17728,1.391977,91438.016,0.007028854,251.2281,290.8642,2.1818619
1981-06-30,383.23117,2.1268651,91605.875,0.010610497,228.67142,296.29605,2.187778
1981-07-31,402.77106,9.031394,91623.664,0.015068666,196.97418,296.73978,2.3896666
1981-08-31,393.3507,20.441786,91561.164,0.014176329,161.08885,294.6649,1.9057537
1981-09-30,360.8061,14.722563,91394.1,0.010821425,119.32221,289.37778,1.5078304
1981-10-31,302.75385,1.3337116,91176.57,0.0052590864,115.556656,281.7165,2.1152918
1981-11-30,269.5992,2.3965394,91234.03,0.003698012,93.78913,275.81213,1.4601136
1981-12-31,228.24489,0.27503014,91341.84,0.0018770105,101.68456,270.40738,1.7700479
1982-01-31,236.80206,0.33207366,91250.56,0.0019500082,99.83531,270.86362,1.4003197
1982-02-28,270.8701,0.93533105,91034.4,0.0031328772,94.89959,273.92618,1.7551645
1982-03-31,285.65726,3.0533578,91030.19,0.004217107,138.66391,278.39545,1.8440549
1982-04-30,305.8365,2.3715832,91231.19,0.0057960353,208.58134,284.42267,2.1966345
1982-05-31,344.36536,3.2866316,91432.625,0.008548556,241.50993,290.69263,2.2654436
1982-06-30,364.2916,1.9914187,91556.09,0.009682034,262.36197,294.66385,2.00319
1982-07-31,388.28552,7.5603304,91613.38,0.012069304,217.11212,296.37155,2.037288
1982-08-31,381.71112,15.997625,91527.25,0.013674551,181.71231,293.6167,1.4531387
1982-09-30,359.69928,7.0036054,91375.32,0.010505561,113.66491,288.81473,1.2948569
1982-10-31,326.35687,2.2729502,91283.42,0.007936789,123.163765,285.80457,1.4425651
1982-11-30,271.7361,2.2089727,91237.29,0.0038888117,94.5623,276.21112,1.4136317
1982-12-31,233.81506,0.043136872,91342.07,0.0017770651,95.01945,270.6515,1.5107734
1983-01-31,228.67783,0.2988401,91248.336,0.0017006065,101.9384,268.7625,1.346106
1983-02-28,233.79729,0.17290904,91030.59,0.0016737136,146.63525,272.4471,1.6076134
1983-03-31,270.25293,2.4840376,91008.38,0.0032432757,161.77174,277.71143,2.233939
1983-04-30,313.71176,3.8397524,91243.43,0.006170589,195.3272,284.83655,2.2926848
1983-05-31,351.32904,11.611641,91380.31,0.0096894605,192.57149,289.04425,1.5765845
1983-06-30,378.8922,8.482388,91493.83,0.01184158,174.84828,292.64667,1.5816224
1983-07-31,394.51346,10.018039,91567.49,0.0134809,163.19395,294.86978,1.4692289
