time,lrad,prec,pres,shum,srad,temp,wind
1979-01-31,205.69057,0.03590018,87592.73,0.0010904873,105.93857,266.80954,2.204522
1979-02-28,217.22281,2.012749,87458.37,0.0013606059,143.04587,270.2648,2.0797036
1979-03-31,249.96248,1.9611167,87423.02,0.0023573718,167.76222,274.9758,2.4024134
1979-04-30,284.1746,1.4625367,87697.58,0.003250169,216.42567,282.62332,3.371981
1979-05-31,309.75037,1.3941404,87936.06,0.0044583,258.41248,288.34387,2.8752093
1979-06-30,343.2192,9.350323,88170.34,0.0075305724,279.99582,293.91074,2.6614258
1979-07-31,374.20294,22.58323,88158.22,0.012027923,207.07755,293.53857,1.7962333
1979-08-31,368.3741,13.583997,88145.32,0.01167537,202.65396,293.2688,2.1558592
1979-09-30,320.49976,4.570347,87908.36,0.007265465,176.00012,287.51093,1.8833921
1979-10-31,270.19223,2.1975908,87770.664,0.0041318648,163.83908,282.20297,1.7862388
1979-11-30,227.73412,1.4385695,87673.8,0.002110451,112.225235,271.58783,2.644725
1979-12-31,213.04172,0.31820783,87692.46,0.001606877,89.21311,267.53912,1.2528319
1980-01-31,190.90318,0.097147346,87580.914,0.00091443054,108.31541,262.99368,1.8018788
1980-02-29,205.08118,0.41478595,87436.77,0.0013847592,144.52959,266.26767,1.8714483
1980-03-31,249.27635,3.2530656,87421.89,0.0025763705,171.03519,274.8328,2.5606446
1980-04-30,276.60037,1.2812066,87667.91,0.0028301785,227.29887,281.9697,3.2097354
1980-05-31,316.9075,4.2977657,87957.62,0.0049106413,246.11166,288.85748,3.0303571
1980-06-30,350.69513,9.190498,88195.22,0.007981128,271.28476,294.53162,2.4336188
1980-07-31,369.0798,7.5705523,88231.58,0.010679494,254.47668,295.44986,2.217969
1980-08-31,358.00754,13.700539,88143.766,0.010851155,227.65822,293.1917,1.8789254
1980-09-30,308.68317,6.1298285,87903.21,0.006588718,195.57103,287.34454,1.8046669
1980-10-31,280.23138,2.9329257,87771.16,0.0045665097,144.55069,281.90115,2.0677083
1980-11-30,238.92381,0.9373926,87690.336,0.002639456,115.29993,275.0474,1.8370613
1980-12-31,196.70258,0.008815701,87690.84,0.0010980584,98.22489,265.22186,2.3576534
1981-01-31,197.73853,0.21455638,87580.6,0.0010307648,103.199234,263.88055,1.7262522
1981-02-28,215.32315,0.14164993,87428.89,0.0011722135,132.89755,268.02188,2.3562725
1981-03-31,244.80481,2.3411672,87516.56,0.0021068961,196.85922,277.31937,2.766677
1981-04-30,287.9117,2.575304,87735.29,0.0036137614,218.27582,283.59628,2.5180645
1981-05-31,305.53638,1.1374384,87959.03,0.0038147431,269.96075,288.8573,3.1897888
1981-06-30,356.32352,14.942643,88177.29,0.008559921,247.82,294.02045,2.2386167
1981-07-31,386.1879,25.1719,88258.61,0.0135145495,229.32365,296.0423,2.5914218
1981-08-31,372.02078,12.242468,88187.81,0.01153331,203.15195,294.2628,2.2023578
1981-09-30,331.52936,5.5124655,87938.37,0.008087034,158.78606,288.24753,1.6389815
1981-10-31,267.07034,2.3724804,87679.086,0.0035829705,139.05368,278.7096,2.4733922
1981-11-30,230.66238,0.94319385,87643.445,0.0019115751,102.39745,270.6358,1.8927526
1981-12-31,194.83806,0.052619774,87688.59,0.0010407784,97.603935,264.48795,1.7642305
1982-01-31,198.93689,0.04477572,87585.74,0.0009821842,104.79904,264.82712,1.6187671
1982-02-28,227.84734,1.1286803,87436.34,0.0017949735,123.38886,269.61893,1.6407242
1982-03-31,252.95917,1.3532162,87471.5,0.0025002994,171.98706,276.30676,2.3196173
1982-04-30,274.73178,1.675536,87724.16,0.0027846112,244.98506,283.33557,2.8665278
1982-05-31,317.4611,6.268254,88027.75,0.0047255643,270.04242,290.54813,3.231472
1982-06-30,341.00977,3.155707,88180.5,0.006582332,281.41528,294.14532,2.656707
1982-07-31,366.12985,18.303623,88226.25,0.009656187,244.17351,295.30762,2.2341993
1982-08-31,362.9662,9.044017,88142.64,0.01092521,211.78473,293.1576,1.9883015
1982-09-30,320.5877,9.475104,87899.01,0.007723662,172.63657,287.25693,1.7106119
1982-10-31,292.52148,2.172954,87816.4,0.005089335,139.99564,283.65277,1.816361
1982-11-30,235.1673,1.4828467,87658.62,0.0024902201,108.06192,272.63193,1.7647729
1982-12-31,203.50677,0.0,87688.555,0.0010986615,90.55294,265.2273,2.336555
1983-01-31,196.5697,0.26689792,87582.53,0.0009987965,104.28668,263.8048,1.6102234
1983-02-28,210.28915,0.21210513,87417.54,0.001257076,136.58307,266.9777,2.2934942
1983-03-31,241.48813,1.8711201,87407.09,0.002156162,179.53027,274.40158,2.5422237
1983-04-30,283.65524,3.4580467,87694.98,0.003262493,215.36066,282.65698,3.2336903
1983-05-31,328.84192,9.228105,88007.2,0.006145535,236.9103,290.00107,2.338079
1983-06-30,350.89026,6.9117126,88152.336,0.008419614,254.3212,293.45044,2.3539786
1983-07-31,368.65485,8.811894,88225.78,0.010245857,238.30443,295.25354,2.097617
1983-08-31,361.28232,5.8398685,88152.555,0.010430294,216.8639,293.41132,2.5785706
1983-09-30,334.03476,12.966345,87958.32,0.008512958,169.67554,288.71716,1.6367822
1983-10-31,298.9816,7.058257,87758.33,0.005860332,118.613556,281.91296,1.3804384
1983-11-30,233.15688,0.8438844,87677.266,0.00249111,116.80584,273.47748,1.5483456
1983-12-31,203.58601,0.056834754,87690.5,0.0012342491,93.88707,265.78528,1.2914891
1984-01-31,187.16566,0.30899456,87579.84,0.0008038553,108.62891,262.0284,1.4432515
1984-02-29,213.84325,0.1790484,87400.37,0.0010993287,121.2201,265.17044,2.0171347
1984-03-31,233.11755,0.64110726,87408.85,0.0015441499,199.41791,273.97064,2.3437183
1984-04-30,286.84183,1.9245138,87745.29,0.0032629296,221.46918,283.80078,2.8892548
1984-05-31,323.24484,9.757743,87997.21,0.006194695,249.61337,289.72354,2.377866
1984-06-30,355.25702,12.167351,88149.195,0.008718347,238.07262,293.35336,2.3771827
1984-07-31,372.67508,12.7805605,88205.58,0.011231616,226.8027,294.72296,2.3910728
1984-08-31,356.88953,18.907,88125.92,0.010410108,219.68799,292.81125,1.9324467
1984-09-30,322.61575,5.0951147,87890.07,0.0075743706,173.86339,287.09363,1.8028963
1984-10-31,268.5367,1.4438596,87734.586,0.003711245,158.10765,280.869,1.8007903
1984-11-30,241.37196,0.35079718,87674.445,0.0023715044,107.88003,274.05734,1.8912703
1984-12-31,206.95903,0.98914516,87688.97,0.0013046828,77.41558,262.2263,1.5304539
1985-01-31,201.5508,0.13301116,87580.55,0.0011735605,99.94378,263.98218,1.6720505
1985-02-28,219.1215,0.21282153,87429.875,0.0013502633,129.11081,268.2711,2.1397812
1985-03-31,236.32582,0.35464978,87373.414,0.0015536904,185.37773,273.12823,2.410366
1985-04-30,278.31888,1.5088378,87762.51,0.0027532869,242.68474,284.20804,3.1534975
1985-05-31,333.6295,11.483336,88002.14,0.007087422,224.34082,289.8433,2.6240306
1985-06-30,353.6956,5.689513,88175.59,0.008247533,252.3875,294.03836,2.361539
1985-07-31,368.31747,8.187501,88236.914,0.010344933,249.26039,295.60687,1.9622186
1985-08-31,365.50934,21.489433,88160.766,0.011347937,211.07683,293.60452,1.8452542
1985-09-30,326.197,21.28306,87839.766,0.007953492,146.1901,285.88528,1.430223
1985-10-31,291.00888,4.933156,87747.39,0.005135675,128.65077,281.55518,1.613287
1985-11-30,226.18564,0.067505494,87657.18,0.0020042195,117.59748,272.0532,2.4288652
1985-12-31,199.89,0.10978411,87690.125,0.0010822302,92.76815,264.41205,1.7564731
1986-01-31,192.82047,0.007734493,87583.625,0.00087528164,113.174095,264.6241,1.7209828
1986-02-28,204.81679,0.65419585,87408.14,0.0010709632,139.85785,265.5044,1.8908018
