time,spei_gamma_01,spei_gamma_03,spei_gamma_06,spei_gamma_09,spei_gamma_12
1979-01-31,0.37750104,,,,
1979-02-28,0.57324594,,,,
1979-03-31,-0.22475585,0.24302,,,
1979-04-30,0.16097637,0.22140498,,,
1979-05-31,-0.0889856,-0.054887604,,,
1979-06-30,-0.6940311,-0.5502521,-0.4867382,,
1979-07-31,1.3316827,0.7837774,0.84976447,,
1979-08-31,-0.095601566,0.5137327,0.49238014,,
1979-09-30,0.86379075,1.0903399,0.8676724,0.8747614,
1979-10-31,-1.2723309,0.03151204,0.42553467,0.478861,
1979-11-30,-0.019697936,0.10892177,0.41611877,0.42524648,
1979-12-31,1.1643057,-0.98615324,0.7080115,0.4873391,0.50299615
1980-01-31,0.38764092,0.5099807,0.073406085,0.4421847,0.49278876
1980-02-29,-0.64947695,0.28727776,0.115374945,0.40663904,0.42010003
1980-03-31,-0.00036884568,-0.24650697,-0.99893063,0.65640986,0.43955162
1980-04-30,-0.6096248,-0.65772206,-0.2737893,-0.102287054,0.3178126
1980-05-31,0.453971,0.020910619,0.118369356,0.12672757,0.41355184
1980-06-30,0.5579671,0.4758639,0.37949967,-0.2365313,0.7995449
1980-07-31,-0.52521634,0.022482885,-0.2495248,-0.0927922,-0.0410983
1980-08-31,1.2511892,0.58173907,0.5914573,0.60957575,0.53927803
1980-09-30,-0.09809097,0.20846406,0.42741528,0.38288754,0.08783972
1980-10-31,1.1413021,1.016693,0.7755491,0.6528146,0.709426
1980-11-30,-0.36027434,0.32662854,0.6037703,0.63686776,0.6552939
1980-12-31,-0.94937193,0.76028985,0.38809276,0.58445466,0.54882646
1981-01-31,0.0136248125,-0.60259765,0.8374424,0.64438266,0.5242381
1981-02-28,0.94270515,0.2205093,0.3170795,0.5855298,0.62469727
1981-03-31,2.0210276,1.91435,1.4327773,0.59440225,0.79299825
1981-04-30,0.6679527,1.6758817,1.0413543,1.2478456,0.9653823
1981-05-31,-1.7064561,-0.33376724,-0.23541942,0.15150322,0.4800392
1981-06-30,0.39747903,-0.315271,0.24048838,0.5625776,0.42575106
1981-07-31,-0.49433047,-0.95151454,-0.27939844,-0.39263654,0.5622179
