time,spei_gamma_01,spei_gamma_03,spei_gamma_06,spei_gamma_09,spei_gamma_12
1979-01-31,-0.015263681,,,,
1979-02-28,0.6133468,,,,
1979-03-31,0.60494727,0.73935187,,,
1979-04-30,-0.75022227,-0.013297585,,,
1979-05-31,-0.8935038,-0.7608776,,,
1979-06-30,-1.0095415,-1.409078,-1.0735786,,
1979-07-31,1.3030643,0.05660323,0.039731596,,
1979-08-31,-0.97062963,-0.24287504,-0.5078353,,
1979-09-30,-0.18787722,0.06598683,-0.64201814,-0.50179595,
1979-10-31,-1.3940146,-1.1880059,-0.80372804,-0.7784712,
1979-11-30,-0.39120653,-1.0139489,-0.665177,-0.8508284,
1979-12-31,-0.5903753,-1.5760965,-0.38633132,-1.0049661,-0.8629923
1980-01-31,-0.23308963,-0.62428534,-1.2875301,-0.88770115,-0.86038685
1980-02-29,-0.86680186,-0.9660394,-1.2260636,-0.7642281,-0.9394499
1980-03-31,0.4066949,-0.09085585,-1.4103698,-0.4062175,-1.0020281
1980-04-30,-0.54342806,-0.40320134,-0.68923795,-1.4171515,-0.97577107
1980-05-31,0.62227553,0.35177267,0.043876912,-0.8257916,-0.64765334
1980-06-30,0.7537706,0.60768116,0.5296257,-0.2832454,-0.12465468
1980-07-31,1.2489237,1.412445,1.1528986,1.0506957,-0.1475829
1980-08-31,1.0857148,1.6856704,1.482197,1.3696288,0.854328
1980-09-30,-0.077491336,1.1847955,1.3224307,1.2657177,0.869977
1980-10-31,-0.06327551,0.65419835,1.3568501,1.2053676,1.1098895
1980-11-30,-0.3451049,-0.20525986,1.2764513,1.2207757,1.1119325
1980-12-31,-0.715547,-0.37039497,1.0360054,1.1835873,1.1348755
1981-01-31,-0.14107272,-0.6384517,0.48468876,1.2639635,1.1176412
1981-02-28,-0.5368879,-0.76503307,-0.42059147,1.1395742,1.1153222
1981-03-31,-0.738681,-0.9072522,-0.8660014,0.83665633,1.0104327
1981-04-30,0.76098496,-0.053141158,-0.35457712,0.46100175,1.2269332
1981-05-31,-1.105621,-0.71162313,-0.9696727,-0.87935424,0.8592395
1981-06-30,-0.7935307,-0.8318472,-1.0853105,-1.3219967,0.3840916
1981-07-31,0.5132684,-0.4777636,-0.4570938,-0.58106047,0.033729143
1981-08-31,2.8789935,2.230742,1.5468229,1.4601007,1.3029419
1981-09-30,1.588235,2.7013166,2.1361392,1.936808,1.8533291
1981-10-31,-0.72582734,2.7260702,1.7734798,1.7050307,1.6145369
1981-11-30,0.8043445,1.1076117,2.330819,1.8001516,1.719623
1981-12-31,-0.34307626,-0.4109883,2.57279,1.9615133,1.772418
1982-01-31,-0.56752485,0.32300454,2.6973834,1.7972745,1.7278012
1982-02-28,0.3120244,-0.19319585,0.96534216,2.2400632,1.7416781
1982-03-31,0.40030482,0.30880934,-0.1977532,2.5753596,1.964345
1982-04-30,0.56845796,0.6769268,0.75876456,2.8111882,1.923038
1982-05-31,-1.2019447,-0.45255685,-0.55104214,0.4757151,2.0796123
1982-06-30,-1.4270109,-1.3300455,-1.1664515,-1.4478053,1.8569129
1982-07-31,0.064161964,-1.086444,-0.755168,-0.7210561,1.6506954
1982-08-31,0.28477213,-0.3547774,-0.46806458,-0.5173715,-0.027477182
1982-09-30,0.646759,0.40845865,-0.28078115,-0.23375805,-0.3597379
1982-10-31,-1.105213,0.13574776,-0.6166664,-0.4320133,-0.41985512
1982-11-30,0.6212814,0.0780334,-0.25056598,-0.38191882,-0.43515053
1982-12-31,-0.59454274,-0.8730598,0.1527776,-0.47956452,-0.43051922
1983-01-31,-0.5605257,0.068662524,0.102848426,-0.612299,-0.43094862
1983-02-28,-0.7981016,-1.0870501,-0.22215332,-0.37739095,-0.4932198
1983-03-31,0.5948893,0.0022989204,-0.766861,0.13439253,-0.47929692
1983-04-30,0.9833172,0.79166764,0.77185535,0.36496148,-0.40692654
1983-05-31,2.0316517,2.134583,1.8029258,1.3412985,0.46797565
1983-06-30,0.84738576,2.0341988,1.8982605,1.4555186,1.1280581
1983-07-31,0.23180047,1.3829515,1.5394493,1.5825993,1.2124228
1983-08-31,0.4545261,0.72628206,1.4505959,1.3228921,1.2925715
1983-09-30,1.1964697,0.8080418,1.7040356,1.6531866,1.4427197
1983-10-31,2.5402095,1.6784277,2.0472136,2.162414,2.1671448
1983-11-30,0.29856953,2.410335,1.6838243,2.2193322,2.1144848
1983-12-31,-0.5118725,2.3801792,1.4310087,2.2108507,2.154424
1984-01-31,-0.21216686,-0.043348774,1.5723662,2.0210524,2.1374328
1984-02-29,-0.8165025,-0.8956025,2.0515761,1.5228064,2.0894854
1984-03-31,-0.92327726,-1.1996126,1.3485484,1.1702373,1.9727918
1984-04-30,-0.15006058,-0.87474567,-0.8594567,1.2698957,1.7777815
1984-05-31,0.5728634,-0.022162562,-0.31839895,1.7363049,1.5135298
1984-06-30,1.450101,1.1605806,0.67830765,1.8359491,1.6830829
1984-07-31,1.446297,1.8441538,1.3960706,1.3950797,2.238081
1984-08-31,0.28381914,1.5806448,1.2694492,1.1569586,2.1868515
1984-09-30,1.8678594,1.6194805,2.010451,1.7544521,2.335371
