time,spei_gamma_01,spei_gamma_03,spei_gamma_06,spei_gamma_09,spei_gamma_12
1979-01-31,0.14449461,,,,
1979-02-28,0.39157286,,,,
1979-03-31,-0.21861522,0.08638589,,,
1979-04-30,-0.12137149,-0.07230506,,,
1979-05-31,-1.0919785,-1.0132825,,,
1979-06-30,-0.62221116,-1.0004581,-0.94508064,,
1979-07-31,0.81721795,-0.035917375,-0.05730812,,
1979-08-31,-0.32563537,0.10793593,-0.23489699,,
1979-09-30,-0.23175487,0.189777,-0.26796964,-0.25556207,
1979-10-31,-1.2630582,-0.7364454,-0.50517404,-0.5166911,
1979-11-30,0.056955174,-0.77109617,-0.27866584,-0.5311819,
1979-12-31,-0.28678668,-1.1379545,-0.11692812,-0.53939295,-0.5223956
1980-01-31,0.30884215,0.037266903,-0.7753616,-0.5246312,-0.52763814
1980-02-29,-0.52134734,-0.35153893,-0.839639,-0.3293254,-0.57073605
1980-03-31,0.29169086,0.083227634,-0.97966737,-0.12842044,-0.5342693
1980-04-30,-0.34384492,-0.27770454,-0.21485011,-0.8144878,-0.56889987
1980-05-31,1.2916453,0.97594976,0.82232004,-0.14009032,-0.026431944
1980-06-30,1.4119183,1.4133506,1.3902624,0.8243844,0.47817728
1980-07-31,0.053162955,1.0238777,0.88800794,0.87222654,0.12375596
1980-08-31,0.80761385,0.93793106,1.1064914,1.054753,0.61906916
1980-09-30,0.15021166,0.4252395,0.985835,0.98399615,0.7183185
1980-10-31,0.24893855,0.63061285,1.0973208,1.0399078,1.0076702
1980-11-30,1.0932546,0.49997836,1.008812,1.1795373,1.1262213
1980-12-31,-1.0002145,0.5923827,0.5738897,1.1307919,1.1269535
1981-01-31,0.40085307,0.76424474,0.73805016,1.1668227,1.1081475
1981-02-28,-0.26550096,-0.44187757,0.35714203,0.92909306,1.1105881
1981-03-31,0.5025747,0.28884158,0.5925007,0.58110315,1.1307393
1981-04-30,-0.15503325,-0.018158346,0.43026617,0.6998143,1.146561
1981-05-31,-0.9269966,-0.7055044,-0.8544685,-0.12605992,0.67617816
1981-06-30,-0.08249408,-0.5708088,-0.47981274,-0.253205,0.26888838
1981-07-31,0.8370945,0.28685907,0.2790222,0.4029719,0.6897498
1981-08-31,2.7609715,2.5547793,2.1403525,2.0869415,2.1170237
1981-09-30,1.221544,2.5314262,2.2571015,2.2935226,2.4430337
1981-10-31,-0.863019,2.5534034,2.1293683,2.1412585,2.1833632
1981-11-30,-0.5621242,0.4796018,2.411622,2.0769603,2.0210187
1981-12-31,0.47122324,-0.97498924,2.3741066,2.0613678,2.0881069
1982-01-31,-0.46597844,-0.47379833,2.4621978,2.0410144,2.0398722
1982-02-28,0.10545227,0.054763027,0.4385991,2.3695045,2.0338647
1982-03-31,-0.009106795,-0.10718571,-0.92665666,2.3308713,2.0046442
1982-04-30,1.0473707,0.84664017,0.41409767,2.4949121,2.1245613
1982-05-31,-1.1162899,-0.38835192,-0.4125573,0.15534665,2.2058566
1982-06-30,-1.4843391,-1.1524506,-1.1532851,-1.6974748,1.7720932
1982-07-31,0.9746393,-0.25791916,-0.024591649,-0.13674434,1.9025923
1982-08-31,0.97617334,0.666421,0.43337336,0.41906846,0.5637805
1982-09-30,0.55184543,1.1611186,0.54789007,0.52734756,0.29232007
1982-10-31,-1.2293402,0.55808944,0.16096908,0.30655137,0.21876912
1982-11-30,0.75698507,0.062006254,0.5499124,0.37673408,0.35838106
1982-12-31,0.0065985257,-0.7335261,0.9850362,0.3811176,0.36278802
1983-01-31,-0.089603744,0.6180395,0.627951,0.21303032,0.36006728
1983-02-28,-0.2409922,-0.20350496,-0.011196044,0.50229067,0.33920413
1983-03-31,0.4798528,0.2086767,-0.5613164,0.98528856,0.38570684
1983-04-30,0.7213576,0.71484756,0.97930735,0.7725013,0.33260372
1983-05-31,2.3259218,2.436652,2.33019,1.443486,1.2280624
1983-06-30,1.3419361,2.319007,2.3256857,1.9686445,1.8963206
1983-07-31,1.568325,2.5439095,2.6100576,2.6435347,2.263199
1983-08-31,0.45595428,1.7209413,2.248685,2.2208927,2.0573678
1983-09-30,1.1764795,1.470749,2.337799,2.353706,2.212741
1983-10-31,2.0378766,1.4853128,2.624771,2.6958487,2.7096639
