time,spei_gamma_01,spei_gamma_03,spei_gamma_06,spei_gamma_09,spei_gamma_12
1979-01-31,0.50681347,,,,
1979-02-28,0.038966436,,,,
1979-03-31,0.61043334,0.66791767,,,
1979-04-30,-0.07952837,0.32539746,,,
1979-05-31,-0.041566957,0.14977962,,,
1979-06-30,0.085840054,-0.010113801,0.19867015,,
1979-07-31,1.1950945,0.97389066,0.97326815,,
1979-08-31,-0.50899243,0.4401364,0.45987928,,
1979-09-30,0.37388408,0.53238076,0.51245683,0.60354304,
1979-10-31,-1.213617,-0.54874116,0.08778187,0.15589985,
1979-11-30,0.18185745,-0.26026824,0.11455602,0.16727455,
1979-12-31,0.98047185,-0.9243971,0.15543082,0.14381114,0.24331588
1980-01-31,0.13265246,0.57772595,-0.46076652,0.1347514,0.1974433
1980-02-29,-0.69636333,0.107585244,-0.25339386,0.09495621,0.14537899
1980-03-31,0.46481794,0.10824943,-0.81570786,0.14425159,0.13061182
1980-04-30,0.01606174,0.054471567,0.34210554,-0.4415624,0.14663067
1980-05-31,0.5207652,0.55740863,0.55941385,0.06452919,0.30466655
1980-06-30,0.46205688,0.6238248,0.57769233,0.011305822,0.41398925
1980-07-31,0.43351883,0.8731442,0.7808118,0.9036581,0.11256925
1980-08-31,0.46898967,0.76390344,0.95212847,0.9396648,0.6095253
1980-09-30,-0.33649555,0.22250037,0.553867,0.5441547,0.21076803
1980-10-31,0.66024905,0.29425687,0.71201634,0.70006263,0.7713161
1980-11-30,-0.9925689,-0.1765518,0.3797217,0.59423435,0.590788
1980-12-31,-0.7667496,0.028581543,0.20007032,0.48806307,0.49114978
1981-01-31,0.105705455,-1.1189096,0.016095208,0.46858796,0.46199313
1981-02-28,0.9012555,0.20355262,-0.15103187,0.36861163,0.58112127
1981-03-31,0.7339763,0.9764987,0.4909527,0.34810126,0.62555784
1981-04-30,0.49983275,0.9747426,0.17254819,0.30853644,0.7043318
1981-05-31,-1.2070835,-0.45319146,-0.36770672,-0.39137256,0.1855964
1981-06-30,0.14970739,-0.49433196,-0.12597775,-0.11425419,0.098138735
1981-07-31,-0.08735985,-0.66016227,-0.1808752,-0.4503642,-0.08357177
1981-08-31,0.37376583,0.25716555,-0.02369849,0.021516567,-0.13663036
1981-09-30,0.29860616,0.31779477,0.030332988,0.21666959,0.22516738
1981-10-31,-0.59905833,0.14545083,-0.25682727,-0.00809573,-0.18338154
1981-11-30,0.49295357,0.054027252,0.19169523,0.0005948975,0.033295657
1981-12-31,-0.041553725,-0.376205,0.14972694,-0.09897217,0.070844404
1982-01-31,-0.42251307,0.26340216,0.15486471,-0.23597056,-0.0007013669
1982-02-28,-0.42169777,-0.43456447,-0.06027428,0.09376386,-0.097074695
1982-03-31,0.48353073,0.04874398,-0.33781815,0.13146669,-0.11542671
1982-04-30,0.29341677,0.34095252,0.40762016,0.25544736,-0.15203272
1982-05-31,-1.0716565,-0.50522685,-0.61560386,-0.3254733,-0.09593195
1982-06-30,-1.0920763,-1.3159615,-1.1564454,-1.2783352,-0.46797034
1982-07-31,1.2400796,-0.2349064,-0.085463606,0.0040840935,0.079528004
1982-08-31,0.7571144,0.77257824,0.39112046,0.30701023,0.27923992
1982-09-30,0.14365868,1.0546277,0.34000057,0.33176056,0.19900113
1982-10-31,-0.80303365,0.16435836,-0.0051520662,0.07440809,0.12047327
1982-11-30,0.017319301,-0.2820536,0.31028205,0.10546392,0.045055937
1982-12-31,-0.52625537,-0.893372,0.63462317,0.0025509386,0.010266105
1983-01-31,-0.5602062,-0.39943045,0.030621467,-0.111681275,-0.03490383
1983-02-28,-0.71463937,-0.9037886,-0.47202653,0.14928837,-0.054049917
1983-03-31,-0.06836393,-0.54711163,-1.1159348,0.506288,-0.12481479
1983-04-30,1.1072934,0.47938642,0.16632545,0.16865914,-0.0037632647
1983-05-31,-0.29499674,0.1990992,-0.090835154,-0.33750144,0.22095695
1983-06-30,1.1050259,0.9006119,0.63340336,0.0608098,0.8641176
1983-07-31,2.1672177,2.168149,2.1325812,1.9555999,1.3287144
1983-08-31,0.40984622,2.1169777,1.9248369,1.7230237,1.2715911
1983-09-30,0.60112065,1.6016212,2.016223,1.8292754,1.4529507
1983-10-31,3.0900006,2.0335288,2.8005407,2.8297143,2.720336
1983-11-30,0.3520701,2.1967034,2.823709,2.8584816,2.6860025
1983-12-31,-0.6484296,3.0860102,2.5886447,2.8679693,2.7254307
1984-01-31,0.07711734,0.090108335,1.9590511,2.7107806,2.7362993
1984-02-29,-0.77825993,-0.70431787,1.9724712,2.692106,2.7387347
1984-03-31,-0.962414,-1.0806324,2.7084231,2.3893552,2.667966
1984-04-30,-0.49838325,-1.1191576,-0.82511145,1.6293435,2.4350274
1984-05-31,-0.25772482,-0.7381375,-0.90409195,1.4711008,2.3549037
1984-06-30,0.2591259,-0.16759667,-0.48918626,1.5451028,2.119869
1984-07-31,1.3244841,0.9912309,0.45842248,0.48926464,1.9041592
1984-08-31,-0.8386193,0.40114433,-0.05604995,-0.15515214,1.4693158
1984-09-30,2.88674,2.0257974,1.8707908,1.5960605,2.698445
1984-10-31,-0.7446257,1.2492646,1.5386199,1.2222728,1.2168657
1984-11-30,0.6617136,2.1137598,1.6804434,1.3509809,1.2329106
1984-12-31,1.0607041,-0.22623013,1.7348896,1.5705354,1.3517529
1985-01-31,-0.32617983,0.8544462,1.345689,1.6061273,1.2958354
1985-02-28,-0.35287216,0.13133407,2.0477471,1.6407945,1.3290136
1985-03-31,-0.12949583,-0.37814298,-0.4295641,1.6458515,1.4695016
1985-04-30,-0.18182448,-0.299071,0.21711344,1.2521069,1.5183874
1985-05-31,1.631493,1.1248605,1.0845187,2.5240288,2.0198905
1985-06-30,-0.0671482,0.94433707,0.7037892,0.5132174,1.9304594
1985-07-31,-0.7738313,0.28929275,0.12124715,0.36411452,1.1925629
1985-08-31,-0.8549954,-1.084653,-0.34799516,-0.30754924,1.2891201
1985-09-30,0.6684163,-0.4001751,0.106626235,0.023075985,-0.04555458
1985-10-31,0.9878955,0.37444776,0.45096645,0.3552329,0.49399105
1985-11-30,-0.7566481,0.8101749,-0.168559,0.26629508,0.27709964
1985-12-31,-0.14436992,0.5810506,-0.15884264,0.28129828,0.20330755
1986-01-31,-0.13079214,-0.74726355,0.17008117,0.2820803,0.19199525
1986-02-28,-0.6565186,-0.46813333,0.6683341,-0.25556254,0.17174223
1986-03-31,0.03596429,-0.26014978,0.38085994,-0.23820587,0.20768383
1986-04-30,-0.8108207,-0.68640524,-0.91391903,-0.043913364,0.10784062
1986-05-31,-0.7114552,-0.8494153,-0.92624724,0.17676663,-0.5736875
1986-06-30,-0.22847551,-0.8760937,-0.8602556,-0.4731193,-0.61638
1986-07-31,-1.1385083,-1.4370105,-1.5531522,-1.64474,-0.7868051
1986-08-31,-0.8733644,-1.3978236,-1.6478698,-1.6461518,-0.8509722
1986-09-30,-0.18952318,-1.1196212,-1.5727352,-1.543789,-1.2602206
1986-10-31,0.37045917,-0.46678182,-1.1665282,-1.305091,-1.3952726
1986-11-30,-0.3637503,-0.067143716,-0.9614507,-1.2851985,-1.2978333
1986-12-31,0.19247039,0.21378042,-0.9117624,-1.2938175,-1.301582
1987-01-31,-0.6193481,-0.49403405,-0.5915351,-1.2360975,-1.3753524
1987-02-28,-0.057183657,-0.25633395,-0.13271806,-0.9994722,-1.3366809
1987-03-31,0.56260914,0.18737775,0.27409866,-0.9061055,-1.2742902
1987-04-30,-0.04311327,0.2839995,-0.0330356,-0.5071173,-1.1566247
1987-05-31,1.1047053,1.0246897,0.8870711,0.42854974,-0.5797748
1987-06-30,1.2900151,1.5236907,1.4424645,1.4438199,-0.14136615
1987-07-31,-0.6476112,0.8510058,0.87593687,0.7267833,0.057454012
1987-08-31,0.91044265,0.7782339,1.19725,1.1394935,0.9090394
1987-09-30,-0.8167761,-0.34116733,0.47454175,0.49918425,0.55295175
1987-10-31,0.59864575,0.23929667,0.6326934,0.6787186,0.5866025
1987-11-30,-0.29454288,-0.41224304,0.24010894,0.62094635,0.58219725
1987-12-31,-0.90838826,0.26510742,-0.21329659,0.49668044,0.5213572
1988-01-31,-0.72416216,-0.87290734,0.020031856,0.43929943,0.48683414
1988-02-29,-0.019420449,-0.74614686,-0.5628928,0.10961788,0.48731863
1988-03-31,1.7208302,1.1189262,0.7855158,-0.042775363,0.6582193
1988-04-30,-0.49662536,0.65701675,0.066347614,0.21194889,0.59300023
1988-05-31,0.74989694,0.96059126,0.6558537,-0.011735201,0.46507502
1988-06-30,-1.5504689,-0.6903233,-0.24750121,-0.09573546,-0.35758916
1988-07-31,0.32620862,-0.24114318,0.06921934,-0.14249799,0.05639651
1988-08-31,0.79872936,0.009527427,0.48637724,0.35502613,-0.00940301
1988-09-30,-0.34476626,0.34179407,-0.060709696,0.15087804,0.2334875
1988-10-31,0.43734956,0.37790242,0.16540803,0.31393957,0.1671116
1988-11-30,-1.2266567,-0.34197614,-0.22921064,0.13713956,0.039260354
1988-12-31,-0.116448745,-0.15352875,0.24714375,-0.102837905,0.08440784
1989-01-31,2.6624866,-0.06425421,0.3169781,0.12855668,0.271903
1989-02-28,2.5622892,2.621072,0.17848423,0.111675315,0.46829322
1989-03-31,0.36470634,2.3677423,1.0525444,0.6650279,0.30001572
1989-04-30,1.2296778,1.7892585,1.3832206,0.86402285,0.5648648
1989-05-31,-0.17321448,0.4831222,1.3017052,0.4234175,0.2886273
1989-06-30,-0.17871785,0.17413409,0.9612492,0.7852181,0.67647576
1989-07-31,0.91022676,0.5050923,1.1774131,1.1299381,0.98276985
1989-08-31,1.0339421,1.1494559,1.2288653,1.6522797,1.1823632
1989-09-30,-0.3461322,0.73094624,0.80773777,1.2319647,1.1252587
1989-10-31,-0.99014235,-0.081043825,0.22276871,0.65637684,0.64051735
1989-11-30,0.7152625,-0.5883308,0.36472613,0.5516872,0.8836924
1989-12-31,2.4619517,-0.14233492,0.5969034,0.66116214,1.0557148
1990-01-31,0.80046463,1.8678316,0.25963292,0.4879902,0.89626294
1990-02-28,1.41805,2.274882,-0.13473596,0.63220304,0.81606424
1990-03-31,-0.0834557,0.7755398,0.23290204,0.7157689,0.76540065
1990-04-30,1.8808568,1.549873,2.2005756,0.74477154,0.87024504
1990-05-31,0.03755542,0.7258941,1.4057593,0.24991602,0.88452715
1990-06-30,1.5955124,1.6871701,1.7836523,1.5345114,1.4162083
1990-07-31,-0.59217435,0.5135979,1.0998029,1.5592679,0.8982996
1990-08-31,-0.50447226,0.05331111,0.43006223,0.8137801,0.2585517
1990-09-30,-1.0575578,-1.1873688,-0.22428323,-0.06438765,-0.11044236
1990-10-31,-0.45668387,-1.1685433,-0.6593393,-0.24390917,0.06348685
1990-11-30,-0.42734766,-1.1194713,-0.70286673,-0.40397197,-0.09471907
1990-12-31,-0.44096723,-0.73161703,-1.2937921,-0.42832497,-0.2830615
1991-01-31,-0.14999196,-0.6136107,-1.2807969,-0.76115084,-0.36281303
1991-02-28,-0.089274004,-0.3305731,-1.1524972,-0.7574737,-0.47520152
1991-03-31,1.3554265,0.9959617,-0.17944364,-1.131701,-0.27518538
1991-04-30,0.49300689,1.0691296,0.5333962,-0.9410816,-0.48965967
1991-05-31,0.36182323,0.9433747,0.77909833,-0.5691778,-0.3772741
1991-06-30,0.6434566,0.836897,1.094739,0.5745355,-0.66038346
1991-07-31,-0.53173727,0.18034072,0.6018752,0.44153515,-0.66689396
1991-08-31,0.09248154,0.023782784,0.5162217,0.44946566,-0.4284339
1991-09-30,-0.8398258,-0.73579234,-0.26722592,-0.0607931,-0.29922083
1991-10-31,-1.1282194,-0.9734214,-0.68234676,-0.39366657,-0.47774628
1991-11-30,-0.6652123,-1.329416,-0.8679543,-0.4759013,-0.5021657
1991-12-31,1.0211556,-1.2043813,-1.0566967,-0.61705583,-0.42646298
1992-01-31,-0.53523743,-0.42187533,-1.0639988,-0.7589426,-0.48346636
1992-02-29,-1.0149286,-0.3552296,-1.3624407,-0.92739445,-0.554242
1992-03-31,2.053967,0.9969686,-0.6232658,-0.9021167,-0.465407
1992-04-30,-0.5398231,0.5151321,0.18761444,-0.8963639,-0.6222614
1992-05-31,-0.43366855,0.19616164,0.07298117,-1.1703106,-0.83006203
