time,spei_gamma_01,spei_gamma_03,spei_gamma_06,spei_gamma_09,spei_gamma_12
1979-01-31,-0.593583,,,,
1979-02-28,0.21310674,,,,
1979-03-31,0.80744314,0.60397947,,,
1979-04-30,-0.76112616,-0.0055285576,,,
1979-05-31,-0.50941366,-0.4160192,,,
1979-06-30,-1.3705045,-1.3890944,-1.070018,,
1979-07-31,0.12113698,-0.8747054,-0.7558584,,
1979-08-31,-0.5562512,-0.8454031,-0.8757264,,
1979-09-30,-0.10967034,-0.3056169,-0.94451505,-0.8154996,
1979-10-31,-1.3394958,-0.85887074,-1.1208402,-1.0317973,
1979-11-30,-0.6506757,-0.84055775,-1.0865263,-1.0822722,
1979-12-31,-0.5895047,-1.5419885,-0.7736547,-1.2733723,-1.1441755
1980-01-31,-0.42819825,-1.0357898,-1.0122305,-1.2538145,-1.160847
1980-02-29,-0.74929637,-0.9461682,-1.0490654,-1.2141865,-1.2142652
1980-03-31,0.12499395,-0.3708084,-1.711936,-0.8393499,-1.3357288
1980-04-30,-0.5775036,-0.52496606,-1.0537271,-1.2224367,-1.403001
1980-05-31,0.20029742,-0.06528658,-0.35865647,-1.1001312,-1.2831404
1980-06-30,1.0474712,0.53045595,0.36879313,-0.57220876,-0.56036484
1980-07-31,0.25165233,0.80749047,0.50723594,0.27054596,-0.52954197
1980-08-31,-0.5718219,0.17311592,0.11428576,-0.03901705,-0.58833164
1980-09-30,-0.13864855,-0.2646647,0.015536281,-0.040323276,-0.546588
1980-10-31,0.39056265,-0.3075378,0.20408203,0.075052485,-0.087786876
1980-11-30,0.10837665,0.08476445,0.16674384,0.12452938,-0.0026472167
1980-12-31,-0.6224888,0.23798947,-0.17673387,0.07736064,0.025797086
1981-01-31,-0.25595716,-0.32965717,-0.37195718,0.12946594,0.0064174538
1981-02-28,-0.6229072,-0.81392735,-0.11332099,0.04248171,0.013017639
1981-03-31,0.31276798,-0.07647929,0.16680896,-0.20610261,0.045684054
1981-04-30,0.3517438,0.25825974,0.05852006,-0.31232497,0.1903297
1981-05-31,-1.310868,-0.6927665,-0.93344086,-0.59406143,-0.23940581
1981-06-30,-1.1614878,-1.3430984,-1.2242676,-1.2091119,-0.8381022
1981-07-31,-0.25900236,-1.4644203,-1.1610451,-1.3096118,-1.118572
1981-08-31,1.9587717,0.7256265,0.2847471,0.14807837,0.17635436
1981-09-30,1.0445057,1.4426106,0.65680104,0.6165916,0.68848974
1981-10-31,-0.5502872,1.6103208,0.44189423,0.4597721,0.40170345
1981-11-30,0.63168126,0.6809909,0.9002264,0.5473141,0.43560275
1981-12-31,-0.55048966,-0.33711937,1.2460251,0.50016326,0.47030726
1982-01-31,-0.54978645,0.030191977,1.5149168,0.40919706,0.42616874
1982-02-28,0.09132509,-0.552446,0.5301954,0.80414444,0.46660167
1982-03-31,1.0004278,0.7471724,0.00873813,1.3258338,0.5754541
1982-04-30,-0.74679583,0.08593763,0.0913213,1.6103708,0.43411943
1982-05-31,-0.94002163,-0.64843327,-0.81151,0.077761374,0.56445384
1982-06-30,-0.60061634,-1.1842251,-0.8482922,-1.1576847,0.6823395
1982-07-31,0.7112156,-0.2605677,-0.19637318,-0.22127545,1.1420838
1982-08-31,2.457634,1.8264245,1.2231671,1.1307695,1.5193353
1982-09-30,-0.4233504,1.4627444,0.7556285,0.83059645,0.7397504
1982-10-31,-0.81849617,1.0478296,0.6464116,0.6120542,0.6066515
1982-11-30,0.66157454,-0.5589356,1.0114325,0.6600211,0.57735366
1982-12-31,-0.6237755,-0.5692753,1.1961789,0.5278826,0.60553837
