time,spei_gamma_01,spei_gamma_03,spei_gamma_06,spei_gamma_09,spei_gamma_12
1979-01-31,0.29297403,,,,
1979-02-28,-0.26483324,,,,
1979-03-31,1.8913647,1.6003591,,,
1979-04-30,-0.013367703,0.9994152,,,
1979-05-31,-0.20476963,0.5751327,,,
1979-06-30,-1.0316919,-0.7456498,-0.10869461,,
1979-07-31,0.6478844,-0.12972093,0.28059995,,
1979-08-31,0.0171178,-0.015555374,0.25406754,,
1979-09-30,0.5006858,0.6091242,0.1381014,0.42888328,
1979-10-31,-1.1142229,-0.13511275,-0.1746128,0.09050299,
1979-11-30,0.23055491,-0.13185485,-0.08477231,0.13492203,
1979-12-31,-0.46571216,-1.0060918,0.20418762,-0.17225808,0.10662987
1980-01-31,-0.07941571,-0.008320584,-0.15861167,-0.21035235,0.052501842
1980-02-29,-0.38229734,-0.49139065,-0.2578705,-0.17448394,0.042995438
1980-03-31,0.59486866,0.31555083,-0.67784834,0.23964922,-0.1376139
1980-04-30,0.01686274,0.23844653,0.21064743,-0.066774264,-0.1389506
1980-05-31,1.4500299,1.3356454,1.1770607,0.65026355,0.34524494
1980-06-30,0.46570772,1.1981622,1.1652226,0.5733836,0.7331578
1980-07-31,0.30760068,1.1507546,1.0989684,1.0908968,0.6499428
1980-08-31,-0.56381094,0.04373904,0.6575993,0.586435,0.46195063
1980-09-30,0.21606313,-0.022367386,0.60587066,0.6245864,0.3294908
1980-10-31,0.35286456,-0.06804782,0.6439078,0.650259,0.6483301
1980-11-30,-0.66167516,0.17470382,0.1233031,0.59608305,0.5361926
1980-12-31,-0.27910033,-0.027776951,-0.030546283,0.5302884,0.553274
1981-01-31,0.092559256,-0.6390585,-0.21894607,0.51654017,0.52999914
1981-02-28,-0.070604935,-0.12430858,0.11830413,0.077126674,0.54112524
1981-03-31,-0.09656899,-0.090518124,-0.071193695,-0.063351646,0.47195956
1981-04-30,0.0039194766,-0.08967225,-0.3499714,-0.23943034,0.46585506
1981-05-31,-1.1466027,-0.90754557,-0.92221093,-0.48532325,-0.26780382
1981-06-30,-0.35437542,-0.94373655,-0.86895007,-0.88185376,-0.4831568
1981-07-31,0.26940423,-0.5695607,-0.5306007,-0.66236305,-0.53557086
1981-08-31,1.4666942,0.87287736,0.26971802,0.24997486,0.3219269
1981-09-30,1.5026767,1.6590774,0.95251656,0.87259334,0.882744
1981-10-31,-0.08383572,1.6875616,0.8491184,0.7525971,0.6696294
1981-11-30,0.7056589,1.2801211,1.3247992,0.83144575,0.8107351
1981-12-31,-0.25515938,0.17054622,1.5561548,0.88740474,0.8236223
1982-01-31,-0.613019,0.23640844,1.6279798,0.8387718,0.74271476
1982-02-28,0.9141567,0.090054564,1.2058429,1.2645398,0.7933495
1982-03-31,0.47392043,0.5385558,0.40774626,1.5715849,0.9186303
1982-04-30,-0.3101935,0.3347287,0.40530396,1.6953874,0.8742211
1982-05-31,-0.78261775,-0.535562,-0.4909394,0.78739744,1.0117384
1982-06-30,-0.15491168,-0.6934459,-0.43794855,-0.37117052,1.0437744
1982-07-31,1.135214,0.35244298,0.4338309,0.4767194,1.5118145
1982-08-31,2.829387,2.3390956,1.6404213,1.650209,2.2797086
1982-09-30,-0.08479591,2.0459535,1.4226179,1.4312447,1.5043346
1982-10-31,-0.72390586,1.365072,1.1551226,1.1391768,1.1713564
1982-11-30,0.543847,-0.31490275,1.5125108,1.1334729,1.13484
1982-12-31,-0.23701926,-0.48138672,1.7003871,1.1250342,1.1531755
1983-01-31,-0.29163966,0.2536813,1.3203527,1.1473715,1.1319265
1983-02-28,-0.117420524,-0.33875185,-0.39431277,1.3963442,1.0445204
1983-03-31,1.2800504,0.93339276,0.07471721,1.7900879,1.2155502
1983-04-30,1.2914352,1.4615562,1.3903543,1.7951877,1.4459695
1983-05-31,1.3266428,2.00847,1.8836019,0.9961363,2.1180134
1983-06-30,1.5265384,2.1472652,2.219053,1.9006319,2.5132766
1983-07-31,0.78516865,1.8975323,2.2335007,2.286213,2.566778
1983-08-31,-0.4380605,0.8628285,1.5985258,1.549376,1.2687621
1983-09-30,1.6658101,1.0801659,2.028442,2.0812466,1.986021
