time,spei_gamma_01,spei_gamma_03,spei_gamma_06,spei_gamma_09,spei_gamma_12
1979-01-31,0.46248028,,,,
1979-02-28,0.43999875,,,,
1979-03-31,1.4377038,1.5531952,,,
1979-04-30,-0.10587426,0.881932,,,
1979-05-31,-0.14697932,0.37056693,,,
1979-06-30,-0.8584981,-0.66161525,-0.07337828,,
1979-07-31,0.8908208,0.12504207,0.47571674,,
1979-08-31,-0.6286371,-0.23126477,0.025507601,,
1979-09-30,0.122359045,0.17462698,-0.16783938,0.11765114,
1979-10-31,-1.1435846,-0.7275558,-0.45277193,-0.21744904,
1979-11-30,-0.10177079,-0.4831093,-0.44972548,-0.2515349,
1979-12-31,-0.45276567,-1.2080355,-0.23298821,-0.5100606,-0.2374492
1980-01-31,0.12898022,-0.2534897,-0.78840303,-0.51825327,-0.28348073
1980-02-29,-0.6883181,-0.5594292,-0.6129455,-0.5406805,-0.352292
1980-03-31,0.070826486,-0.20315929,-1.2147564,-0.27989918,-0.5637423
1980-04-30,-0.22019367,-0.30096516,-0.3928093,-0.8839407,-0.5794575
1980-05-31,1.1832684,0.8265672,0.6565933,-0.068527155,-0.20899525
1980-06-30,0.12184476,0.75839204,0.6332322,-0.11522077,0.058780644
1980-07-31,0.7082326,1.1322873,0.9169954,0.9027486,0.009893711
1980-08-31,-0.15789893,0.35775837,0.6832853,0.59527886,0.21633588
1980-09-30,-0.10572426,0.18175101,0.52415526,0.46919963,0.10159897
1980-10-31,0.42311525,-0.013928957,0.6311947,0.53631353,0.50035465
1980-11-30,-0.370859,0.017707363,0.2597071,0.5293592,0.45593855
1980-12-31,-0.59150845,0.07651338,0.18229394,0.5003559,0.45575437
1981-01-31,0.023039538,-0.57420033,-0.16942774,0.5062274,0.41595167
1981-02-28,0.48059353,-0.07256585,-0.020746978,0.22215843,0.49163282
1981-03-31,-0.07768056,0.09220886,0.119557925,0.18841875,0.49288842
1981-04-30,0.492875,0.37487158,0.04625616,-0.034618255,0.6020323
1981-05-31,-0.8612811,-0.48546958,-0.5249735,-0.32125708,0.031860746
1981-06-30,-0.6898267,-0.8098439,-0.71678,-0.68369913,-0.18845361
1981-07-31,0.4582896,-0.47227362,-0.2658636,-0.4105855,-0.31107816
1981-08-31,2.0718608,1.2929515,0.80785227,0.79773664,0.6924519
1981-09-30,1.232399,1.8201722,1.2980016,1.261197,1.3048906
1981-10-31,-0.50363773,1.7614735,0.99537057,1.037134,0.96188045
1981-11-30,0.49674127,0.81818867,1.3745495,1.0552971,1.0367079
1981-12-31,-0.14555681,-0.28953135,1.6050125,1.1092875,1.0864645
1982-01-31,-0.2230954,0.28924525,1.745146,0.9991915,1.0385315
1982-02-28,0.22926363,-0.0464939,0.751455,1.3210123,1.0190566
1982-03-31,0.42590067,0.36628217,-0.084141895,1.6507844,1.1444805
1982-04-30,0.16511837,0.41671845,0.48320368,1.8971931,1.0938262
1982-05-31,-0.63653237,-0.24248564,-0.271096,0.5634912,1.2409346
1982-06-30,-0.93428594,-0.94379634,-0.7420624,-0.958067,1.0948724
1982-07-31,-0.054341033,-0.84264964,-0.595243,-0.54273623,0.99108
1982-08-31,1.1307878,0.2566552,0.06937126,0.05343893,0.5609721
1982-09-30,0.21959758,0.6223466,0.093126334,0.14642386,0.052203164
1982-10-31,-0.87256044,0.41541177,-0.18148261,-0.08604572,-0.058767
1982-11-30,0.25531557,-0.2019102,0.036478024,-0.0644953,-0.08383071
1982-12-31,-0.4606403,-0.8169792,0.30132818,-0.1598427,-0.100225516
1983-01-31,-0.44040465,-0.13987212,0.3424734,-0.23353182,-0.13988054
1983-02-28,-0.51445764,-0.70152336,-0.3723064,-0.08458481,-0.18580748
1983-03-31,0.45893595,0.045140207,-0.72497797,0.29186198,-0.17626007
1983-04-30,0.7954132,0.61821806,0.45414615,0.5602389,-0.07631486
1983-05-31,0.99888694,1.2511262,1.0480058,0.43230948,0.41371495
1983-06-30,1.3607208,1.742436,1.6362532,1.1397383,1.019426
1983-07-31,1.8618382,2.4497917,2.4577682,2.5186663,1.9651349
1983-08-31,-0.23555766,1.6027688,1.8461711,1.7311715,1.407343
1983-09-30,1.5318091,1.5476356,2.2490242,2.1657608,1.9573011
1983-10-31,3.0134315,2.03792,2.8206177,2.837212,2.855062
1983-11-30,-0.054327965,2.6851037,2.667501,2.8472826,2.7498322
1983-12-31,-0.52567184,2.8279417,2.338982,2.8767323,2.8009
1984-01-31,-0.10108933,-0.3174243,1.9127737,2.7577486,2.7815132
1984-02-29,-0.7870809,-0.7455628,2.4440503,2.5220447,2.7585711
1984-03-31,-0.90328145,-1.1562577,2.0593894,2.1090615,2.672872
1984-04-30,-0.34122172,-0.98486894,-0.981647,1.5904232,2.492558
1984-05-31,0.18812338,-0.35189608,-0.60665,2.126355,2.4162972
1984-06-30,1.4570677,0.8940147,0.42104465,2.151973,2.3067997
1984-07-31,1.548413,1.8754084,1.2957418,1.2717302,2.4186695
1984-08-31,-0.416622,1.3392241,0.89394563,0.7713348,2.3994646
1984-09-30,2.613847,1.9157536,2.1944757,1.9086933,2.8027916
1984-10-31,-0.5805005,1.2437029,1.9240024,1.611131,1.5825777
1984-11-30,-0.01606806,1.7897878,1.9726759,1.6456933,1.5428501
1984-12-31,1.4852227,-0.23349056,1.7095768,1.9433008,1.6956979
1985-01-31,-0.405932,0.4830462,1.2722273,1.9630502,1.6452316
1985-02-28,-0.28665954,0.46131355,1.805949,1.9754765,1.6733546
1985-03-31,-0.1492569,-0.3853121,-0.43118945,1.6205125,1.8540832
1985-04-30,-0.109149635,-0.23542932,0.026978303,1.2065773,1.8855213
1985-05-31,0.9660616,0.6374644,0.78738827,2.1167097,2.2472405
1985-06-30,0.5407069,0.9067588,0.70707554,0.5346492,1.873505
1985-07-31,-0.9244588,0.11637151,0.0040288833,0.12614648,1.0307074
1985-08-31,-0.94043267,-0.9301906,-0.44206503,-0.3763362,0.81120855
1985-09-30,0.5246218,-0.5848836,-0.107475944,-0.1732407,-0.25749815
1985-10-31,0.77948016,0.10214495,0.1388408,0.064152166,0.12150166
1985-11-30,-0.7914454,0.59429723,-0.26067623,-0.011759281,0.02553727
1985-12-31,-0.16985685,0.3442398,-0.42880362,-0.0009831415,-0.06744919
1986-01-31,-0.7097902,-1.0158075,-0.13612393,-0.0425823,-0.11253739
1986-02-28,-0.6277638,-0.72556084,0.39538577,-0.37788644,-0.1327153
1986-03-31,-0.25287348,-0.7045595,-0.07349732,-0.5703809,-0.14295843
1986-04-30,0.08292592,-0.2820822,-0.759291,-0.23368943,-0.112540774
1986-05-31,-0.89026535,-0.7365021,-0.9898133,-0.08361364,-0.6811053
1986-06-30,-0.05792314,-0.5873594,-0.7839758,-0.6160519,-0.8064613
1986-07-31,-0.4680051,-0.83538204,-0.8634202,-1.135189,-0.70417905
1986-08-31,-0.8326713,-0.8553851,-1.036759,-1.1469716,-0.64710826
1986-09-30,0.27468657,-0.4716841,-0.7353556,-0.8279052,-0.7425283
1986-10-31,-0.2693253,-0.41240972,-0.7646009,-0.79707897,-0.9630524
1986-11-30,-0.26164567,0.005906051,-0.5695155,-0.78383136,-0.8754076
1986-12-31,-0.24832657,-0.4361012,-0.58173966,-0.80068886,-0.8886948
1987-01-31,-0.8558691,-0.63847476,-0.56615436,-0.89067984,-0.92632705
1987-02-28,-0.17188211,-0.56171197,-0.14286658,-0.6616643,-0.89260864
1987-03-31,0.84373087,0.40244412,-0.19532724,-0.521555,-0.75740606
1987-04-30,-0.01124613,0.42615187,0.036380418,-0.41327098,-0.7674183
1987-05-31,1.8099371,1.6658449,1.5066125,0.9290349,0.031610038
1987-06-30,1.6772103,2.2111406,2.1744118,1.8865168,0.5015573
1987-07-31,-0.2840342,1.5914692,1.5919755,1.4993744,0.6537878
1987-08-31,0.4935625,0.8578524,1.4986228,1.4030862,1.2561864
1987-09-30,-1.2857364,-0.5679037,0.58292145,0.6226169,0.4925678
1987-10-31,0.0514387,-0.4758617,0.55933595,0.62731427,0.5348641
1987-11-30,0.11001836,-0.91690797,0.026959442,0.6477016,0.56578827
1987-12-31,-0.70182544,-0.073116176,-0.5368874,0.5097625,0.55173117
1988-01-31,-0.45437965,-0.3889904,-0.5791412,0.46840236,0.5395791
1988-02-29,0.9124629,-0.053528626,-0.92917615,-0.013534654,0.6068072
1988-03-31,2.0431378,1.9795353,0.973838,-0.18087246,0.81139696
1988-04-30,-0.4566051,1.1235849,0.74603987,-0.1850224,0.7401802
1988-05-31,0.9351936,1.2931745,1.2857951,-0.076169506,0.5038825
1988-06-30,-1.5144892,-0.48373097,0.24392362,0.16933939,-0.39667058
1988-07-31,1.686368,0.927711,1.2783924,1.2310017,0.42439577
1988-08-31,0.93296736,0.9714572,1.3711287,1.3490424,0.62641835
1988-09-30,-0.236726,1.0943692,0.76037174,1.0674912,1.0655452
1988-10-31,0.8843674,0.7000706,1.0144268,1.2294217,1.1797901
1988-11-30,-1.143474,-0.025825225,0.63522506,1.0288597,1.0021287
1988-12-31,-0.20303681,0.26063484,1.0858986,0.7669019,1.0546772
1989-01-31,2.2899537,-0.2502147,0.5947373,0.94244564,1.161352
1989-02-28,2.4178374,2.158613,0.41022795,0.8774666,1.2574693
1989-03-31,0.3374958,1.9499167,1.2724677,1.4255316,1.0699232
1989-04-30,1.1336054,1.5481236,1.1818833,1.133809,1.3155274
1989-05-31,-0.6388089,0.10579501,0.8000125,0.46359655,0.9333905
1989-06-30,-0.09930045,-0.08291159,0.6011663,0.7270514,1.2560976
1989-07-31,0.7500756,0.12799609,0.72268224,0.68769705,0.9744571
1989-08-31,0.3614254,0.61930907,0.5292354,0.85796595,0.7501297
1989-09-30,-0.28818852,0.35173014,0.26587203,0.595271,0.68031734
1989-10-31,-1.1342189,-0.4333028,-0.24520257,0.12916538,0.08403228
1989-11-30,0.0637347,-0.7570791,-0.056436904,-0.013490602,0.22884625
1989-12-31,1.5753658,-0.68027425,0.093668945,0.038047682,0.3514573
1990-01-31,0.47169,0.893751,-0.27124178,-0.14118132,0.2249015
1990-02-28,1.0271231,1.5403358,-0.4255044,0.11802565,0.13671613
1990-03-31,0.17021409,0.65704805,-0.28219748,0.19350459,0.119872645
1990-04-30,1.2421005,1.1403929,1.4327896,0.11994736,0.13668312
1990-05-31,0.10504325,0.6379853,1.1494336,-0.010512898,0.3724443
1990-06-30,1.6728969,1.5385565,1.656777,1.2429965,0.8441645
1990-07-31,-0.4406601,0.57566863,0.9781731,1.2433728,0.45737296
1990-08-31,-0.11713037,0.37697414,0.6107109,0.8502635,0.24476096
1990-09-30,-1.1397082,-0.87049407,-0.027605621,0.09375556,-0.12429972
1990-10-31,-0.5331444,-0.975633,-0.36397123,-0.065397754,0.053824853
1990-11-30,-0.55522704,-1.2639852,-0.48203224,-0.20690434,-0.027542677
1990-12-31,-0.4130913,-0.86766416,-1.0704325,-0.27006993,-0.14999428
1991-01-31,-0.32301015,-0.79224735,-1.1535844,-0.52340055,-0.22516455
1991-02-28,-0.3874079,-0.545834,-1.3634299,-0.57402086,-0.31324685
1991-03-31,1.5522587,1.1019883,-0.21290898,-0.8659763,-0.1074509
1991-04-30,0.27446532,0.9657571,0.4124102,-0.8007159,-0.25710613
1991-05-31,0.71749073,1.2187322,1.0487194,-0.51718205,-0.07174294
1991-06-30,0.5770291,0.9209376,1.228691,0.6923151,-0.37880304
1991-07-31,-0.25193542,0.47859293,0.8113756,0.6474198,-0.3546215
1991-08-31,-0.03480626,0.06738795,0.6529734,0.55621046,-0.3135586
1991-09-30,-0.4696986,-0.38062838,0.0892039,0.26826045,-0.0022689276
1991-10-31,-1.038327,-0.7332738,-0.25123465,-0.014636513,-0.13940457
1991-11-30,-0.44955483,-0.9701205,-0.55227894,-0.04120784,-0.12245738
1991-12-31,1.0566885,-0.9428869,-0.66830266,-0.2051387,-0.028624536
1992-01-31,-0.79218596,-0.21382803,-0.78950775,-0.31651703,-0.08107415
1992-02-29,-1.0859054,-0.3668515,-1.0435245,-0.61893606,-0.12244129
1992-03-31,1.9097264,1.003026,-0.3388228,-0.49391097,-0.06450026
1992-04-30,-0.92843497,0.25834784,0.102903046,-0.6967432,-0.24997637
1992-05-31,0.08957945,0.4130082,0.28706813,-0.7354085,-0.45278817
1992-06-30,0.4444561,-0.0051444178,0.3284382,-0.27406874,-0.48002
