time,spei_gamma_01,spei_gamma_03,spei_gamma_06,spei_gamma_09,spei_gamma_12
1979-01-31,-0.29737142,,,,
1979-02-28,0.3289435,,,,
1979-03-31,0.77304983,0.6851023,,,
1979-04-30,-0.69409466,0.060971793,,,
1979-05-31,-0.33019114,-0.25559357,,,
1979-06-30,-1.4014237,-1.371992,-0.9658045,,
1979-07-31,0.88648134,-0.25112578,-0.19588567,,
1979-08-31,-1.0412565,-0.7619086,-0.737014,,
1979-09-30,-0.19104941,-0.27751458,-0.86244434,-0.7053637,
1979-10-31,-1.081112,-1.0991727,-0.96447545,-0.88559884,
1979-11-30,-0.53317,-0.7848181,-0.972224,-0.9453268,
1979-12-31,-0.48026985,-1.2894313,-0.65092635,-1.1204258,-0.9661954
1980-01-31,-0.096689306,-0.6864952,-1.1859998,-1.039816,-0.9618261
1980-02-29,-0.7414326,-0.7418899,-0.9442004,-1.0485129,-1.0292068
1980-03-31,-0.15428168,-0.49562407,-1.5235053,-0.7366775,-1.1974273
1980-04-30,-0.55730724,-0.6590113,-0.9447538,-1.4460489,-1.2215023
1980-05-31,0.3975017,-0.029688025,-0.27266803,-0.95360535,-1.100017
1980-06-30,0.6447352,0.43776035,0.2158591,-0.61893225,-0.5351633
1980-07-31,0.3855398,0.75124437,0.39156908,0.23512004,-0.74970186
1980-08-31,-0.17148522,0.32729688,0.25843337,0.13348742,-0.38266507
1980-09-30,0.010921016,0.06245901,0.24227974,0.14767653,-0.25543138
1980-10-31,0.13599434,-0.06497598,0.3492541,0.17253494,0.058560874
1980-11-30,-0.13114457,0.03134982,0.2404796,0.20287254,0.09910285
1980-12-31,-0.64946824,-0.070496485,0.03194818,0.19831008,0.115927115
1981-01-31,0.13224763,-0.34105638,-0.14932191,0.2761863,0.10661765
1981-02-28,-0.23951119,-0.41504663,-0.09377319,0.16753024,0.13582261
1981-03-31,-0.39504635,-0.43407837,-0.33949083,-0.054109465,0.11595211
1981-04-30,0.47502488,0.008412418,-0.16994202,-0.1563742,0.2761458
1981-05-31,-1.0350418,-0.7044296,-0.8396888,-0.55735606,-0.09981734
1981-06-30,-1.2190423,-1.2403971,-1.2506487,-1.413806,-0.59726954
1981-07-31,0.119467884,-1.0396719,-0.91485476,-1.0475266,-0.720814
1981-08-31,1.8168342,0.82447857,0.37466276,0.2901775,0.26659113
1981-09-30,1.1825414,1.5932394,0.8992877,0.7847075,0.76037776
1981-10-31,-0.61728764,1.5296963,0.6116469,0.57390213,0.51609993
1981-11-30,0.8089929,0.79573995,1.0076616,0.6668014,0.59411997
1981-12-31,-0.25284612,-0.2855283,1.388096,0.73516023,0.63916856
1982-01-31,-0.4275415,0.3833401,1.5098541,0.62716496,0.5883944
1982-02-28,0.058143828,-0.30606675,0.673241,0.93271506,0.6079759
1982-03-31,0.60747117,0.40221608,-0.07972354,1.4316745,0.7751747
1982-04-30,-0.09013757,0.29464212,0.42674223,1.6601969,0.7003667
1982-05-31,-0.46716228,-0.14351374,-0.25252965,0.55616206,0.9043396
1982-06-30,-0.9208604,-0.91393274,-0.6729268,-0.9364613,0.9444798
1982-07-31,-0.13355821,-0.7892919,-0.5727341,-0.5227003,0.8943999
1982-08-31,1.2368712,0.38888228,0.257528,0.18945695,0.64848065
1982-09-30,-0.14174873,0.53865224,0.06912135,0.12889579,0.016865997
1982-10-31,-0.87257147,0.38280806,-0.13981384,-0.0636032,-0.043640036
