time,spei_gamma_01,spei_gamma_03,spei_gamma_06,spei_gamma_09,spei_gamma_12
1979-01-31,-0.73639876,,,,
1979-02-28,0.8337602,,,,
1979-03-31,0.7812077,0.80435044,,,
1979-04-30,-0.11606384,0.5020108,,,
1979-05-31,-0.5526685,-0.19050163,,,
1979-06-30,-0.25707102,-0.54600686,-0.27093217,,
1979-07-31,1.3889022,0.7832671,0.9092354,,
1979-08-31,-0.00796607,0.8920922,0.7274025,,
1979-09-30,-0.34343377,0.75841033,0.42416725,0.5458149,
1979-10-31,-1.1231806,-0.63286996,0.16573532,0.28761396,
1979-11-30,-0.16990049,-0.91931355,0.31879625,0.22296564,
1979-12-31,-0.32207748,-1.0618267,0.40124676,0.10302727,0.22470264
1980-01-31,-0.5245766,-0.4537332,-0.70920384,0.1022421,0.22180408
1980-02-29,-0.74788207,-0.9034756,-1.0693884,0.22992818,0.13833304
1980-03-31,0.47673655,-0.01000561,-1.0479414,0.39701384,0.10445344
1980-04-30,-0.1680144,-0.03622068,-0.24469869,-0.70247656,0.08063014
1980-05-31,0.8929205,0.7402172,0.5417068,-0.37486735,0.49849153
1980-06-30,0.9471424,1.0791998,0.99291086,0.3486826,0.795963
1980-07-31,0.09535191,0.86121434,0.7924087,0.7272987,0.117704
1980-08-31,-0.21691525,0.30217355,0.60131574,0.53373396,0.035319842
1980-09-30,-0.38840386,-0.25464338,0.32368526,0.31541663,0.002010072
1980-10-31,-0.010119195,-0.38039428,0.34640145,0.32366842,0.2667793
1980-11-30,-0.1721556,-0.37268665,0.059710298,0.33635178,0.2611501
1980-12-31,-0.62656003,-0.21964927,-0.30825436,0.25664613,0.24918701
1981-01-31,-0.37641764,-0.49570724,-0.48947912,0.26959682,0.24467832
1981-02-28,-0.84470445,-1.0387639,-0.56395334,-0.038114697,0.23972027
1981-03-31,0.33981487,-0.117908515,-0.27271724,-0.32556227,0.23681417
1981-04-30,0.18730749,0.124478824,-0.11141959,-0.4243346,0.2915793
1981-05-31,-1.0666988,-0.58515203,-0.821965,-0.85488355,-0.27147186
1981-06-30,0.11834555,-0.470047,-0.46782047,-0.5628966,-0.49480122
1981-07-31,0.612509,0.07300676,0.122127585,0.03728113,-0.24225484
1981-08-31,1.5875497,1.383425,1.0050201,0.9320715,0.65204555
1981-09-30,0.786272,1.5387952,1.1902634,1.167185,1.0959169
1981-10-31,-0.31984717,1.471893,1.0630118,1.0605599,0.9851388
1981-11-30,0.0072801355,0.4656329,1.4397063,1.1074692,1.0172853
1981-12-31,-0.6544154,-0.3722764,1.3986989,1.0513531,1.0299456
1982-01-31,-0.77585715,-0.45801875,1.29718,0.99135244,0.988114
1982-02-28,0.011952708,-0.7111808,0.31103793,1.3479166,1.0295993
1982-03-31,0.8319324,0.5288859,-0.12618007,1.4586089,1.1181096
1982-04-30,-0.44679025,0.121239565,-0.098666675,1.2985121,0.9692989
1982-05-31,-0.9325368,-0.6066618,-0.77316505,-0.15069692,1.0407127
1982-06-30,-0.43475026,-1.0253977,-0.79868,-0.98374885,0.7728028
1982-07-31,0.08786876,-0.541064,-0.4739304,-0.53379446,0.5966847
1982-08-31,0.14500515,-0.03265654,-0.33871406,-0.39932907,-0.07302135
1982-09-30,0.03788374,0.11402963,-0.42286795,-0.34855974,-0.43628535
1982-10-31,-1.1716534,-0.34020647,-0.62058145,-0.57513785,-0.6201856
1982-11-30,0.5825193,-0.3850325,-0.27663627,-0.50485444,-0.5567639
1982-12-31,-0.72879785,-0.8317537,-0.14996639,-0.65284765,-0.5762908
1983-01-31,-0.59435976,0.1373888,-0.32388276,-0.60418475,-0.56520534
1983-02-28,-0.868878,-1.2164786,-0.60666555,-0.38558707,-0.60852516
1983-03-31,0.6556055,0.087027065,-0.7664804,-0.13788976,-0.63881475
1983-04-30,0.98973584,0.84088385,0.8090727,0.008780228,-0.37016684
1983-05-31,2.7982175,2.7775404,2.6015043,1.4783313,0.82118887
1983-06-30,0.8448723,2.6387396,2.5059574,1.9920378,1.1124084
1983-07-31,-0.5191995,1.2277383,1.439939,1.5027537,0.96461564
1983-08-31,-0.60789484,-0.41706246,0.9282552,0.8344256,0.60020417
1983-09-30,1.3547503,-0.059396572,1.3115803,1.306665,1.0839095
1983-10-31,1.0827101,0.77268326,1.365544,1.5273592,1.5488608
1983-11-30,-0.117081836,1.6243982,0.45244357,1.5473584,1.4413497
1983-12-31,-0.61466146,0.76107746,0.17646874,1.4728713,1.4665092
1984-01-31,-0.59153056,-0.51432306,0.616137,1.2775308,1.4362994
1984-02-29,-0.8789114,-1.1673775,1.365892,0.33359054,1.4287136
1984-03-31,-0.22492275,-0.728408,0.36038777,0.052522466,1.3505327
1984-04-30,0.4389858,-0.011853564,-0.25151598,0.60422856,1.2249252
1984-05-31,0.70708805,0.62531096,0.3707954,1.5876429,0.6039377
1984-06-30,1.1011617,1.2727495,0.969772,1.3238279,0.6417738
1984-07-31,0.25924128,1.0091853,0.93597794,0.85802627,1.2136002
1984-08-31,-0.1473158,0.53460455,0.78263664,0.68930626,1.4750108
1984-09-30,0.17909735,0.18740134,0.82364404,0.6974131,0.9368636
1984-10-31,-0.3532815,-0.14956976,0.630446,0.5999609,0.5324382
1984-11-30,-0.26387566,-0.13689752,0.39789185,0.6114848,0.51234484
1984-12-31,2.2202291,-0.118284404,0.1486229,0.7565362,0.6357629
1985-01-31,-0.21613663,0.32094762,-0.09611495,0.6705972,0.634568
1985-02-28,-0.3134471,0.7617229,-0.0100872535,0.45609236,0.6630322
1985-03-31,0.067457,-0.13455486,-0.19700879,0.12594515,0.7329676
1985-04-30,-0.88205355,-0.63718325,-0.37175682,-0.29833138,0.4990003
1985-05-31,1.3379766,0.61349213,0.78003424,0.4872696,0.7143357
1985-06-30,-0.78570175,-0.008538331,-0.050907396,-0.09846219,0.115685575
1985-07-31,-0.3848658,-0.087813936,-0.29684624,-0.21040365,-0.24132115
1985-08-31,0.63124985,-0.21098301,0.1113169,0.20621562,0.16890022
1985-09-30,2.145584,1.0304638,0.9827749,0.9552978,0.91206044
1985-10-31,0.83584535,2.0403178,1.322712,1.1215781,1.159117
1985-11-30,-0.6800941,2.0421221,0.85882765,1.0556146,1.1162615
1985-12-31,-0.6966829,0.28749433,1.1043999,1.0403818,1.0106871
1986-01-31,-0.7470093,-1.125591,1.7248797,1.1629869,0.96268517
1986-02-28,-0.47029912,-1.0233085,1.804372,0.74966335,0.95298886
1986-03-31,0.5012128,0.04821744,0.27386472,1.1014355,1.0494652
1986-04-30,0.07896954,0.19535077,-0.36507353,1.7313473,1.1725506
1986-05-31,-0.4837702,-0.16469935,-0.40242907,1.332309,0.6300941
1986-06-30,1.2716573,0.5859225,0.54250336,0.6133535,1.1332539
1986-07-31,-0.60063934,-0.1310121,-0.061816283,-0.26952282,1.1833042
1986-08-31,-0.5103925,-0.22406372,-0.27417803,-0.36414456,0.62699497
1986-09-30,-1.1114296,-1.1426123,-0.76320565,-0.7466742,-0.65934515
1986-10-31,0.064620115,-0.980599,-0.73333544,-0.6587338,-0.8088012
1986-11-30,-0.25250074,-0.95873934,-0.6405069,-0.6598294,-0.73833364
1986-12-31,0.7229278,0.024893863,-1.1010695,-0.71378094,-0.6981932
1987-01-31,-0.5457596,-0.22538544,-0.9982714,-0.75649905,-0.686101
1987-02-28,-0.14184777,-0.027839202,-0.95058006,-0.6306342,-0.66110224
1987-03-31,0.60974205,0.3389432,0.16543548,-1.029194,-0.6521906
1987-04-30,-0.49572352,-0.050034184,-0.13474482,-0.9894441,-0.74363476
