time,spei_gamma_01,spei_gamma_03,spei_gamma_06,spei_gamma_09,spei_gamma_12
1979-01-31,-0.7415621,,,,
1979-02-28,1.4066542,,,,
1979-03-31,0.47726387,0.78304106,,,
1979-04-30,-0.18096386,0.4056872,,,
1979-05-31,-0.56960744,-0.32040897,,,
1979-06-30,0.2323982,-0.18325028,0.045446556,,
1979-07-31,1.245547,0.8142819,0.89896053,,
1979-08-31,-0.051175408,0.76324815,0.61215377,,
1979-09-30,-0.6455227,0.4306103,0.26838008,0.3841775,
1979-10-31,-0.60244715,-0.5824998,0.15453987,0.2465373,
1979-11-30,0.087172195,-0.7809497,0.30769804,0.18628149,
1979-12-31,-0.14810091,-0.48491803,0.2613732,0.1187303,0.22582884
1980-01-31,-0.63137466,-0.10741842,-0.5858698,0.15569708,0.24119516
1980-02-29,-0.42421976,-0.62469745,-0.86175936,0.27649507,0.1531136
1980-03-31,1.0711935,0.7148582,-0.06948836,0.40877834,0.24397157
1980-04-30,-0.05987039,0.42850125,0.31363976,-0.42395142,0.25711372
1980-05-31,-0.0126057975,0.38240847,0.24036177,-0.4739982,0.38200292
1980-06-30,0.06137844,0.0058265654,0.208933,-0.027352648,0.33215103
1980-07-31,-0.7941802,-0.5385265,-0.36612666,-0.33977503,-0.62917393
1980-08-31,-0.041433334,-0.46089196,-0.3045383,-0.34157172,-0.6028251
1980-09-30,-0.33327702,-0.6801635,-0.5921661,-0.48743892,-0.5496055
1980-10-31,-0.34307697,-0.33860028,-0.6079127,-0.4976071,-0.47709954
1980-11-30,-0.45268586,-0.5987844,-0.6954866,-0.5522613,-0.5895506
1980-12-31,-0.71686006,-0.6791659,-0.81637466,-0.7171689,-0.61640644
1981-01-31,-0.39587054,-0.689213,-0.47809747,-0.7009177,-0.59564465
1981-02-28,-0.77845186,-1.0695534,-0.7450315,-0.7525222,-0.61252546
1981-03-31,0.007994655,-0.330023,-0.80434525,-0.8819249,-0.7749772
1981-04-30,-0.08635311,-0.19537294,-0.5067214,-0.53489023,-0.74665546
1981-05-31,-0.7487961,-0.59411895,-0.7874439,-0.99427766,-0.9422803
1981-06-30,1.08925,0.39878166,0.26669192,-0.052616786,-0.56272805
1981-07-31,1.2214174,1.1540048,1.0285746,0.84989357,0.40585843
1981-08-31,-0.32287228,0.9620696,0.69705796,0.62870616,0.24766502
1981-09-30,-0.6426246,0.27103707,0.45502004,0.39692086,0.20198078
1981-10-31,0.19558308,-0.5106826,0.4756388,0.41537905,0.29934376
1981-11-30,-0.16105984,-0.46228254,0.66154444,0.4335282,0.35835102
1981-12-31,-0.6267078,-0.019052375,0.23761366,0.41709396,0.36086634
1982-01-31,-0.7247034,-0.46600568,-0.5922773,0.43024608,0.36586463
1982-02-28,0.49694255,-0.27085054,-0.4986618,0.6575731,0.43084583
1982-03-31,-0.13764405,-0.14277172,-0.12196049,0.25422916,0.44002384
1982-04-30,-0.33058688,-0.19901556,-0.39073324,-0.66825074,0.37474787
1982-05-31,0.05151103,-0.18055645,-0.23981301,-0.5272467,0.5589076
1982-06-30,-0.8991133,-0.7667291,-0.7339719,-0.6937171,-0.14887337
1982-07-31,0.46491247,-0.13723424,-0.19428448,-0.26323327,-0.5116758
1982-08-31,-0.6412897,-0.50691015,-0.5705769,-0.5858282,-0.6439734
1982-09-30,0.21802284,-0.0020216845,-0.4163041,-0.4392003,-0.4080796
1982-10-31,-0.9437253,-0.634189,-0.5397789,-0.5796677,-0.61330616
1982-11-30,0.045659345,-0.2522457,-0.5352111,-0.60331833,-0.6165913
1982-12-31,-0.73225236,-0.8834574,-0.24400502,-0.6133718,-0.63089216
1983-01-31,-0.27514535,-0.19159043,-0.65257347,-0.5459137,-0.59472704
1983-02-28,-0.6856176,-0.95068437,-0.39094117,-0.58213484,-0.6512723
1983-03-31,0.5497527,0.21286671,-0.6817166,-0.18178497,-0.5713584
1983-04-30,0.5168468,0.47852063,0.3240785,-0.46410793,-0.41135138
1983-05-31,0.8258171,1.04892,0.8318398,0.33433214,-0.16650629
1983-06-30,-0.11031511,0.54842895,0.5601625,0.13802245,0.093964726
1983-07-31,-0.61828065,-0.18241942,-0.002227864,-0.012978043,-0.42768854
1983-08-31,-1.032242,-1.0611628,-0.5543646,-0.6126219,-0.59493554
1983-09-30,0.53514475,-0.7503848,-0.36904478,-0.3431519,-0.50646937
1983-10-31,0.8304,-0.18376318,-0.25007465,-0.12970127,-0.13795267
1983-11-30,-0.26742563,0.7550716,-0.5587967,-0.13996392,-0.20098509
1983-12-31,-0.62691903,0.44206288,-0.5777592,-0.22868071,-0.20261899
1984-01-31,-0.20484188,-0.45797676,-0.27746284,-0.30552885,-0.19005023
1984-02-29,-0.72706544,-0.89542574,0.6055366,-0.60564816,-0.19021331
1984-03-31,0.07571905,-0.21472375,0.28969988,-0.61455625,-0.25246194
1984-04-30,-0.39673665,-0.34779948,-0.522261,-0.40846896,-0.40236467
