time,spei_gamma_01,spei_gamma_03,spei_gamma_06,spei_gamma_09,spei_gamma_12
1979-01-31,-0.7288606,,,,
1979-02-28,1.2435483,,,,
1979-03-31,0.69945633,0.8378496,,,
1979-04-30,0.6204355,0.960599,,,
1979-05-31,-0.666071,0.06388327,,,
1979-06-30,0.42796764,0.18428673,0.38281438,,
1979-07-31,0.721162,0.56329304,0.8289401,,
1979-08-31,-0.27202746,0.5110216,0.50956434,,
1979-09-30,-0.66401273,0.041083522,0.122584656,0.24279134,
1979-10-31,-0.6397591,-0.86370194,-0.16078213,0.07602342,
1979-11-30,-0.44456172,-1.0707709,-0.059972562,-0.040094316,
1979-12-31,0.7185651,-0.71870965,-0.20254517,-0.10407846,0.0074022617
1980-01-31,-0.3472928,-0.39421117,-0.88580483,-0.20491263,0.01731646
1980-02-29,-0.4236025,-0.095021345,-1.0951607,-0.0629346,-0.046593454
1980-03-31,1.3614682,1.0474616,-0.28301942,-0.04177341,0.042939648
1980-04-30,0.34527445,0.8512326,0.5218788,-0.5514287,0.006455416
1980-05-31,0.8547327,1.3335328,1.2862164,-0.1564826,0.34370637
1980-06-30,0.54507,0.9734053,1.1498587,0.6230101,0.3475619
1980-07-31,-0.94685066,-0.22283435,0.042837672,-0.009885659,-0.49486035
1980-08-31,1.0017953,0.12006227,0.5748158,0.5737019,0.016276373
1980-09-30,0.07053487,-0.07910506,0.40694627,0.5594587,0.29314315
1980-10-31,-0.02706606,0.7329432,0.33126172,0.52763414,0.45056388
1980-11-30,0.2597952,0.10809352,0.15593971,0.56994957,0.5535566
1980-12-31,-0.8362587,0.0033129277,-0.07770908,0.3761496,0.51706934
1981-01-31,-0.49198645,-0.06877387,0.67120373,0.32022914,0.5029358
1981-02-28,-0.8851019,-1.3551006,-0.07599918,0.075131156,0.48586512
1981-03-31,0.05985996,-0.3314207,-0.1774635,-0.11781806,0.3315091
1981-04-30,0.019285282,-0.107602246,-0.103959754,0.5988982,0.2784735
1981-05-31,-0.89769787,-0.6484542,-0.8703869,-0.4160775,-0.12702397
1981-06-30,2.33353,1.4106159,1.18707,1.0188314,0.4596028
1981-07-31,0.24045366,1.0421685,0.96595955,0.93009096,1.0587025
1981-08-31,-0.5020538,0.8594316,0.6027467,0.5236158,0.46329206
1981-09-30,-0.7716893,-0.48740923,0.2552323,0.20650136,0.18378283
1981-10-31,-0.27725282,-0.9432331,0.16558698,0.13247786,0.117674544
1981-11-30,-0.03705284,-0.82815295,0.38470465,0.15843064,0.0775035
1981-12-31,-0.6586142,-0.34624797,-0.56994593,0.13086404,0.08553582
1982-01-31,-0.80688965,-0.39551467,-0.9608337,0.11150722,0.07194365
1982-02-28,2.1030848,0.65592134,-0.76343167,0.41870934,0.19213426
1982-03-31,0.27967796,0.6870319,-0.067417085,-0.45215255,0.22508168
1982-04-30,0.017419158,0.5033004,0.2345178,-0.73148394,0.22226906
1982-05-31,-0.8804791,-0.55117416,-0.4216901,-0.92147696,0.21778569
1982-06-30,-0.42318892,-0.7948501,-0.535805,-0.6494175,-0.6673365
1982-07-31,0.2931014,-0.2651584,-0.10448919,-0.15145479,-0.63780916
1982-08-31,-0.16560096,-0.080080606,-0.27597928,-0.22104415,-0.53408366
1982-09-30,0.50567764,0.33102712,-0.09632632,0.00071320124,-0.10744843
1982-10-31,-1.0042267,-0.23524329,-0.37915444,-0.24812344,-0.2927682
1982-11-30,0.24102376,-0.082610324,-0.12225348,-0.2941851,-0.25460225
1982-12-31,-0.8362587,-0.8792138,0.015048092,-0.3551709,-0.26469344
1983-01-31,-0.7663895,-0.14907262,-0.25159374,-0.37982142,-0.26210403
1983-02-28,-0.964687,-1.5661414,-0.29192448,-0.21085064,-0.38083324
1983-03-31,0.764954,0.23107983,-0.8269964,0.05355592,-0.30945966
1983-04-30,0.31172466,0.43006688,0.29655993,-0.09413518,-0.2519989
1983-05-31,1.6361066,1.68313,1.372663,0.68354213,0.31495884
1983-06-30,-0.21525279,0.78321666,0.7645891,0.20789398,0.34890896
1983-07-31,-0.72252977,-0.16069096,-0.027338196,-0.033896036,-0.15862879
