time,lrad,prec,pres,shum,srad,temp,wind
1979-01-31,201.9198,0.011834054,83936.78,0.0009429707,113.9749,266.45312,2.6253767
1979-02-28,216.01729,0.11665629,83922.29,0.0011881263,148.86433,270.02744,2.1291032
1979-03-31,245.1228,0.41303298,84077.19,0.0020457883,173.72578,274.1002,2.2420743
1979-04-30,280.91287,0.3336775,84511.484,0.0031243402,222.2412,282.13797,3.1412857
1979-05-31,302.14316,0.6863173,84736.6,0.004367468,255.39607,286.36276,2.8509567
1979-06-30,328.9459,1.3762934,85040.51,0.006503402,296.023,292.38162,2.314186
1979-07-31,363.66443,4.686238,85023.336,0.010756778,204.94438,291.95856,1.7911378
1979-08-31,357.09467,1.9520264,84999.19,0.010650757,201.99283,291.45328,2.081721
1979-09-30,318.02887,1.4863924,84743.04,0.0070731067,170.02945,286.44272,1.7019045
1979-10-31,264.4136,0.3959132,84451.26,0.003923968,167.26466,280.76352,1.5757358
1979-11-30,223.9167,0.36282533,84125.44,0.0020178717,119.59177,270.92606,2.529653
1979-12-31,210.28984,0.026314324,84071.13,0.0014626802,99.0736,267.81683,1.5032313
1980-01-31,191.04805,0.010143056,83897.22,0.00089244754,113.57712,262.86255,1.8505417
1980-02-29,206.95055,0.04056692,83855.42,0.0013301737,143.91743,265.8445,1.534066
1980-03-31,247.90128,0.38899332,84082.234,0.0022989048,172.00319,274.1949,2.3764932
1980-04-30,275.39694,0.1963796,84472.8,0.002693024,224.9626,281.381,2.909651
1980-05-31,309.99847,0.72522753,84761.63,0.0047351783,241.13028,286.86713,2.675668
1980-06-30,344.71616,1.9156243,85053.37,0.0075085894,258.86484,292.67477,2.1202304
1980-07-31,362.53418,1.4893345,85099.06,0.010710056,246.60777,293.73367,2.012575
1980-08-31,347.36835,1.8694284,85014.32,0.010005353,228.42926,291.74753,1.789551
1980-09-30,305.20044,1.0326108,84759.04,0.0064531127,199.85304,286.7764,1.6393521
1980-10-31,276.31165,0.51595116,84472.69,0.004453538,149.01793,281.0212,1.7685272
1980-11-30,234.94426,0.039504282,84187.91,0.00218631,120.94036,274.42667,1.9881147
1980-12-31,197.90584,0.0006548871,84063.555,0.0010441296,103.93436,265.59744,2.4738827
1981-01-31,203.1021,0.06493973,83896.48,0.0012101309,102.83393,263.97287,1.583391
1981-02-28,214.86711,0.033809766,83851.38,0.0011484744,138.00467,267.848,2.1095333
1981-03-31,241.53508,0.23586848,84218.6,0.001823657,201.01726,276.59714,2.6009207
1981-04-30,282.23746,0.85199124,84514.06,0.003592518,218.55905,282.11365,2.1912818
1981-05-31,298.4925,0.24497126,84791.875,0.003525929,274.36267,287.4438,2.8765173
1981-06-30,349.01825,2.005823,85075.586,0.0078086196,249.9535,293.08878,2.3370438
1981-07-31,376.42188,3.2349267,85156.734,0.012489753,232.48694,294.84427,2.6695082
1981-08-31,366.12698,2.4601343,85078.555,0.011220834,198.88779,293.05566,2.1785486
1981-09-30,329.2869,1.8276294,84770.24,0.008331136,151.60255,286.95847,1.3051071
1981-10-31,263.30478,0.74065256,84308.52,0.003679179,142.06998,277.48215,2.5273612
1981-11-30,230.38449,0.074356906,84077.15,0.0018334093,106.60317,270.4263,1.9309907
1981-12-31,190.21016,0.005753554,84054.82,0.0009332231,108.448326,264.34244,2.0050998
