time,spei_gamma_01,spei_gamma_03,spei_gamma_06,spei_gamma_09,spei_gamma_12
1979-01-31,-0.78904176,,,,
1979-02-28,0.6045697,,,,
1979-03-31,0.39308175,0.38638994,,,
1979-04-30,-0.044124343,0.31352597,,,
1979-05-31,-0.72229975,-0.3649869,,,
1979-06-30,-0.19763748,-0.5735482,-0.38735646,,
1979-07-31,1.4493849,0.8359386,0.8854553,,
1979-08-31,0.38360783,1.1061137,0.9417245,,
1979-09-30,-0.8294919,0.7665867,0.46059862,0.5311312,
1979-10-31,-0.87322724,-0.58057535,0.24860232,0.3197226,
1979-11-30,-0.24823849,-1.1727107,0.39143518,0.24329858,
1979-12-31,0.055149496,-0.85781634,0.478355,0.18434158,0.25065464
1980-01-31,-0.48422223,-0.35067537,-0.638646,0.1923917,0.26339555
1980-02-29,-0.6901604,-0.6823757,-1.2372239,0.33736715,0.19371472
1980-03-31,1.150856,0.71555513,-0.44889393,0.6271602,0.32783544
1980-04-30,-0.27823347,0.34058386,0.07626417,-0.5000702,0.27605963
1980-05-31,0.48532882,0.66475046,0.4968373,-0.63420314,0.5492872
1980-06-30,0.39681032,0.47217757,0.6202124,0.124484316,0.67219853
1980-07-31,-0.8205436,-0.3094217,-0.18647607,-0.22324593,-0.49738201
1980-08-31,0.54663247,-0.08675788,0.17767183,0.14421882,-0.4073492
1980-09-30,-0.32606533,-0.39517778,-0.16273649,-0.04182964,-0.26151153
1980-10-31,-0.27624708,0.09139869,-0.18367894,-0.09067329,-0.13353209
1980-11-30,-0.3062365,-0.5182733,-0.37427714,-0.1209484,-0.16471606
1980-12-31,-0.6742147,-0.5097483,-0.54780257,-0.31546932,-0.19995794
1981-01-31,-0.41077828,-0.5410215,-0.049023945,-0.28021795,-0.18920347
1981-02-28,-0.8227848,-1.0906739,-0.65250504,-0.4417761,-0.1946356
1981-03-31,0.10521457,-0.25883394,-0.6227337,-0.59322226,-0.36177033
1981-04-30,-0.020394739,-0.12738043,-0.3833051,-0.09497678,-0.31178156
1981-05-31,-0.9214572,-0.60185385,-0.8040625,-0.876495,-0.6439985
1981-06-30,2.0783098,1.1902834,0.96363115,0.5866839,0.0047312314
1981-07-31,0.88276875,1.4641588,1.3438278,1.1442937,0.9084037
1981-08-31,0.02539902,1.4725085,1.2160629,1.148759,0.6599383
1981-09-30,-0.51670945,0.31727672,0.9039116,0.86683816,0.62115806
1981-10-31,-0.24660857,-0.42836946,0.8381712,0.7769732,0.6376328
1981-11-30,-0.11966403,-0.5913213,1.0469841,0.80839634,0.71590304
1981-12-31,-0.6757775,-0.36768895,0.18763319,0.7583471,0.72266316
1982-01-31,-0.7146054,-0.41452584,-0.5099946,0.76598877,0.70880854
1982-02-28,0.28888175,-0.43840972,-0.6350055,0.99835664,0.76770264
1982-03-31,0.09745853,0.028996283,-0.33805233,0.21259329,0.8086907
1982-04-30,-0.35760254,-0.10768832,-0.29036573,-0.5452064,0.7209849
1982-05-31,-0.4248252,-0.40839505,-0.4911035,-0.75538874,0.7988013
1982-06-30,-0.6908876,-0.9099971,-0.7874538,-0.889815,-0.20386788
1982-07-31,1.0054865,0.30905247,0.24732661,0.15764013,-0.1270389
1982-08-31,-0.44482693,0.120127544,-0.056349378,-0.071222246,-0.31873694
1982-09-30,0.5218341,0.63883376,0.16771373,0.17072847,0.053492613
1982-10-31,-1.2642235,-0.46661648,-0.0911774,-0.12133805,-0.17964177
1982-11-30,0.12373384,-0.11367382,0.03975602,-0.12097082,-0.14756015
1982-12-31,-0.7202907,-1.048447,0.29293996,-0.1579577,-0.15747496
1983-01-31,-0.6401988,-0.16688605,-0.48460165,-0.11318753,-0.14649525
1983-02-28,-0.74014,-1.1534752,-0.26546735,-0.042150706,-0.1994083
1983-03-31,0.40241677,-0.01177766,-0.999329,0.31294557,-0.15033635
1983-04-30,0.13294843,0.15126343,0.024729991,-0.41922626,-0.070956394
1983-05-31,1.8271872,1.4693143,1.1835804,0.61196375,0.48296142
1983-06-30,0.5620765,1.464468,1.2735578,0.6176549,0.82407105
1983-07-31,-0.77148134,0.28323257,0.31012255,0.27248588,-0.06310626
1983-08-31,-1.2271339,-0.9890811,-0.36698198,-0.4398684,-0.3860792
1983-09-30,1.2767986,-0.55932057,0.18041591,0.17709824,-0.12319658
1983-10-31,1.1001232,0.33201942,0.43926126,0.46268922,0.41399288
1983-11-30,-0.20804513,1.4845477,-0.09831087,0.46520305,0.37481874
1983-12-31,-0.5995159,0.69183534,-0.3328557,0.37932378,0.37994394
1984-01-31,-0.35229993,-0.42191544,0.21902502,0.36494353,0.3900415
1984-02-29,-0.7619431,-0.98738575,1.3392522,-0.1647702,0.38858694
1984-03-31,0.0918114,-0.24056634,0.50614876,-0.369618,0.3638092
1984-04-30,-0.38850838,-0.3474459,-0.47941342,0.083680324,0.26142082
1984-05-31,0.46478137,0.18408445,-0.025767678,1.1854777,-0.09292703
1984-06-30,0.66340363,0.6384326,0.4833714,0.7352048,-0.038993426
1984-07-31,0.25306374,0.694841,0.53514344,0.42308384,0.51039493
1984-08-31,-0.02054102,0.42745662,0.49619526,0.4346016,1.0096657
1984-09-30,-0.4689693,-0.07885144,0.23979826,0.19654098,0.36415857
1984-10-31,-0.7916567,-0.6312484,0.10244846,0.003278757,-0.06839169
1984-11-30,-0.51820403,-0.94189435,-0.12543243,-0.054273617,-0.124413215
1984-12-31,1.9066713,-0.7399651,-0.31439534,0.0012637333,-0.04186572
1985-01-31,-0.36951283,-0.22479102,-0.6634463,0.06533586,-0.034992933
1985-02-28,-0.38313228,0.44682866,-0.8505312,-0.08135183,-0.0117595885
1985-03-31,0.09806037,-0.11215057,-0.7589804,-0.32578146,-0.00019774586
1985-04-30,-1.0162802,-0.63530123,-0.601333,-0.88457584,-0.1032624
1985-05-31,1.2555134,0.47740516,0.5379951,-0.42818585,0.09177073
1985-06-30,-0.41002375,0.00995985,-0.02745108,-0.39982235,-0.26021674
1985-07-31,-0.7072459,-0.3541828,-0.5508703,-0.54836863,-0.7652381
1985-08-31,-0.22626674,-0.79875195,-0.59183717,-0.53142786,-0.83214456
1985-09-30,3.0735974,0.9081275,0.8989476,0.88677883,0.5745836
1985-10-31,-0.024585243,1.8979762,1.0487964,0.8478985,0.7577178
1985-11-30,-0.5159265,2.422955,0.60496306,0.78408325,0.80869895
1985-12-31,-0.64558715,-0.41942748,0.7483336,0.7376431,0.7251912
1986-01-31,-0.78904176,-0.8194685,1.6403759,0.9020031,0.70702046
1986-02-28,-0.14585176,-0.7606233,2.30463,0.5409645,0.7197476
1986-03-31,0.30771488,0.06587574,-0.37414542,0.7928847,0.79227465
1986-04-30,0.12247863,0.21371813,-0.26409182,1.6883936,0.9421151
1986-05-31,-0.10522203,0.09592848,-0.06846857,1.9230868,0.5406655
1986-06-30,1.8685334,1.4931078,1.3283095,0.9523857,1.225559
1986-07-31,-0.7728072,0.3218409,0.37046698,0.18713449,1.2566376
1986-08-31,-0.25816017,0.14712833,0.17628321,0.13461424,1.2127855
1986-09-30,-0.98391104,-1.1178807,-0.33223274,-0.3266849,-0.395608
1986-10-31,0.08065513,-0.82901525,-0.3317144,-0.26615888,-0.38399965
1986-11-30,-0.29751918,-0.88387966,-0.35585502,-0.3214982,-0.36863142
1986-12-31,0.9767319,-0.009246738,-1.0862274,-0.3280812,-0.32226068
1987-01-31,-0.3912086,-0.20988552,-0.8419142,-0.35911256,-0.29793847
1987-02-28,-0.33846712,0.0360244,-0.8544466,-0.3381228,-0.3059145
1987-03-31,0.13415036,-0.07215358,-0.059045583,-1.1092396,-0.33750635
1987-04-30,0.141217,0.08814392,-0.044838198,-0.7925032,-0.32895917
1987-05-31,-0.7091843,-0.37935156,-0.37119293,-0.9157432,-0.4625923
1987-06-30,1.076224,0.5255646,0.43612346,0.35733086,-0.6689721
1987-07-31,-0.6943399,-0.25110638,-0.21404858,-0.2286667,-0.6442009
1987-08-31,-0.43871054,-0.2589653,-0.41882437,-0.39397967,-0.69980353
1987-09-30,-1.2323607,-1.2795713,-0.98763686,-1.0121977,-0.88041955
1987-10-31,1.358803,-0.64531034,-0.65282965,-0.61077935,-0.6036201
1987-11-30,0.056824148,-0.36383098,-0.44997483,-0.5960828,-0.5772265
1987-12-31,-0.7057707,1.0608699,-0.90772504,-0.6324207,-0.654074
1988-01-31,-0.38633657,-0.17817868,-0.6599188,-0.6731653,-0.63821846
1988-02-29,-0.18245213,-0.6377915,-0.43699226,-0.4805976,-0.6258203
1988-03-31,0.6822667,0.47407132,1.2333845,-0.8298949,-0.55728555
1988-04-30,-0.7057807,-0.076441064,-0.15165159,-0.674886,-0.6816006
1988-05-31,0.6316029,0.40508395,0.25664085,-0.13446477,-0.31675553
1988-06-30,1.4740822,1.2860435,1.2689056,1.6047405,-0.14039342
1988-07-31,1.6705014,2.328508,2.187197,2.0179749,1.1386707
1988-08-31,0.6967697,2.1401796,2.2966142,2.2737985,1.6022152
1988-09-30,-0.90658426,1.0556355,1.6863807,1.7888575,1.856431
1988-10-31,-0.76769274,-0.34729064,1.597142,1.5279248,1.4060755
1988-11-30,-0.560129,-1.2985026,1.3098848,1.4564483,1.387976
1988-12-31,0.10712711,-0.96591806,0.7288748,1.340235,1.4351197
1989-01-31,3.09,0.12190435,-0.2950984,1.6219623,1.5571071
1989-02-28,0.5999885,2.0907674,-0.96805495,1.4485174,1.5973066
1989-03-31,-0.031714,0.9036751,-0.44069463,0.9188116,1.5628859
1989-04-30,0.60189277,0.46622175,0.40792188,-0.11582677,1.7163184
1989-05-31,-1.3296522,-0.66594267,-0.2443331,-1.170185,1.1356314
