shp,spei,model,dec,period,r2,mape,mae,rmse,mse
shp-1,spei-1,LSTM,EEMD,test,0.508390367,387.1413946,0.61932987,0.7332859,0.5377082
shp-1,spei-1,LSTM,EEMD,train,0.666237801,181.993854,0.40926293,0.5191783,0.26954606
shp-1,spei-1,LSTM,EEMD,val,0.548050672,585.4239941,0.5041308,0.6272922,0.39349556
shp-1,spei-1,LSTM,None,test,0,107.4285984,0.8351574,1.0545672,1.112112
shp-1,spei-1,LSTM,None,train,0.010953844,113.7144327,0.7109305,0.89372975,0.79875284
shp-1,spei-1,LSTM,None,val,0,373.2503891,0.7068048,0.9566069,0.91509676
shp-1,spei-1,LSTM,VMD,test,0.535858124,365.8157349,0.57512563,0.712506,0.5076648
shp-1,spei-1,LSTM,VMD,train,0.525856555,179.981041,0.49003592,0.61880356,0.38291782
shp-1,spei-1,LSTM,VMD,val,0.42161274,552.7612209,0.55569166,0.709634,0.5035804
shp-1,spei-1,RNN,EEMD,test,0.544565529,184.9132895,0.57513785,0.705791,0.4981409
shp-1,spei-1,RNN,EEMD,train,0.662257671,187.5957966,0.41108826,0.5222647,0.27276042
shp-1,spei-1,RNN,EEMD,val,0.632475287,1449.608707,0.44737205,0.56567675,0.3199902
shp-1,spei-1,RNN,None,test,0,107.8715205,0.828877,1.0520722,1.1068558
shp-1,spei-1,RNN,None,train,0.018701017,114.7101998,0.7112557,0.89022255,0.7924962
shp-1,spei-1,RNN,None,val,0,567.2811031,0.73963946,0.9764544,0.95346314
shp-1,spei-1,RNN,VMD,test,0.530498952,305.5083513,0.5622401,0.71660763,0.5135265
shp-1,spei-1,RNN,VMD,train,0.503827155,203.0615807,0.5036793,0.63301563,0.40070876
shp-1,spei-1,RNN,VMD,val,0.564760685,2057.325554,0.4911333,0.6155865,0.37894678
shp-1,spei-1,TCN,EEMD,test,0,2485.748863,2.8798788,3.118473,9.724874
shp-1,spei-1,TCN,EEMD,train,0,318.7017918,0.8776926,1.0970016,1.2034124
shp-1,spei-1,TCN,EEMD,val,0,9592.330933,1.6889733,1.9460357,3.787055
shp-1,spei-1,TCN,None,test,0.000504851,238.8814449,0.82910824,1.045571,1.0932186
